estimate_id,year_start,year_end,estimate_date_precision,geography,metric,value,value_min,value_max,unit,source_key,source_locator,interpretation,confidence,needs_review
EST-1871-6WK-SD-PERM,1871,1871,within six weeks after October 8-10 fire,South Division,permanent stone and brick buildings under construction,212,,,buildings,ANDREAS_V3_REBUILD,printed p. 59,"Flow count for permanent masonry construction underway, not total standing stock.",high,false
EST-1871-6WK-SD-FRONT,1871,1871,within six weeks after October 8-10 fire,South Division,street frontage of permanent stone and brick buildings under construction,17715,,,feet,ANDREAS_V3_REBUILD,printed p. 59,Frontage represented by the 212 permanent masonry buildings underway.,high,false
EST-1871-PREDEC-PERMITS,1871,1871,before December 1 1871,citywide,building permits issued,250,,,permits,ANDREAS_V3_REBUILD,printed p. 59,Permit flow after the fire and before December 1; temporary unpermitted structures excluded.,high,false
EST-1871-1872-PERMITS,1871,1872,December 1 1871 through October 1 1872,citywide,building permits issued,1250,,,permits,ANDREAS_V3_REBUILD,printed pp. 59-60,First rebuilding-year permit flow; does not equal standing-building stock.,high,false
EST-1871-1872-FRAME,1871,1872,December 1 1871 through October 1 1872,citywide,permitted frame buildings,65,,,buildings,ANDREAS_V3_REBUILD,printed p. 59,"Material classification in the 1,250-permit table; explicitly excludes temporary structures.",high,false
EST-1871-1872-BRICK,1871,1872,December 1 1871 through October 1 1872,citywide,permitted brick buildings,965,,,buildings,ANDREAS_V3_REBUILD,printed p. 59,"Material classification in the 1,250-permit table.",high,false
EST-1871-1872-IRON,1871,1872,December 1 1871 through October 1 1872,citywide,permitted iron buildings,20,,,buildings,ANDREAS_V3_REBUILD,printed p. 59,"Material classification in the 1,250-permit table.",high,false
EST-1871-1872-STONE,1871,1872,December 1 1871 through October 1 1872,citywide,permitted stone buildings,200,,,buildings,ANDREAS_V3_REBUILD,printed p. 59,"Material classification in the 1,250-permit table.",high,false
EST-1871-1872-1STORY,1871,1872,December 1 1871 through October 1 1872,citywide,permitted one-story buildings,284,,,buildings,ANDREAS_V3_REBUILD,printed pp. 59-60,"Height classification in the 1,250-permit table.",high,false
EST-1871-1872-2STORY,1871,1872,December 1 1871 through October 1 1872,citywide,permitted two-story buildings,378,,,buildings,ANDREAS_V3_REBUILD,printed pp. 59-60,"Height classification in the 1,250-permit table.",high,false
EST-1871-1872-3STORY,1871,1872,December 1 1871 through October 1 1872,citywide,permitted three-story buildings,226,,,buildings,ANDREAS_V3_REBUILD,printed p. 60,"Height classification in the 1,250-permit table; verified against the printed scan rather than OCR alone.",high,false
EST-1871-1872-4STORY,1871,1872,December 1 1871 through October 1 1872,citywide,permitted four-story buildings,263,,,buildings,ANDREAS_V3_REBUILD,printed p. 60,"Height classification in the 1,250-permit table; verified against the printed scan rather than OCR alone.",high,false
EST-1871-1872-5STORY,1871,1872,December 1 1871 through October 1 1872,citywide,permitted five-story buildings,88,,,buildings,ANDREAS_V3_REBUILD,printed p. 60,"Height classification in the 1,250-permit table; verified against the printed scan rather than OCR alone.",high,false
EST-1871-1872-6STORY,1871,1872,December 1 1871 through October 1 1872,citywide,permitted six-story buildings,10,,,buildings,ANDREAS_V3_REBUILD,printed p. 60,"Height classification in the 1,250-permit table; verified against the printed scan rather than OCR alone.",high,false
EST-1871-1872-7STORY,1871,1872,December 1 1871 through October 1 1872,citywide,permitted seven-story buildings,1,,,buildings,ANDREAS_V3_REBUILD,printed p. 60,"Height classification in the 1,250-permit table; verified against the printed scan rather than OCR alone.",high,false
EST-1871-1872-FRONT,1871,1872,December 1 1871 through October 1 1872,citywide,total street frontage represented by permits,43413,,,feet,ANDREAS_V3_REBUILD,printed p. 60,Corner buildings count only frontage on the main street.,high,false
EST-1872-SD-COVERED,1871,1872,first post-fire year,South Division,re-built street frontage,52792,,,feet,ANDREAS_V3_REBUILD,printed p. 60,"Printed total line. The 22 printed street values sum to 53,892 feet, 1,100 feet above this printed total; retain the stated total and flag the source inconsistency.",high,true
EST-1872-SD-VACANT,1871,1872,first post-fire year,South Division,vacant street frontage in burned district,58252,,,feet,ANDREAS_V3_REBUILD,printed p. 60,"Printed total line. The 22 printed street values sum to 58,152 feet, 100 feet below this printed total; retain the stated total and flag the source inconsistency.",high,true
EST-1872-SD-COST,1871,1872,first post-fire year,South Division,reported building construction cost,38134700,,,USD nominal,ANDREAS_V3_REBUILD,printed p. 60,"Printed historical nominal-dollar total. The 22 printed street values sum to $41,134,700, $3,000,000 above this printed total; retain the stated total because it reconciles exactly to the reported whole-district total when combined with North and West Division totals, but flag the street-table inconsistency.",high,true
EST-1872-ND-FRONT,1871,1872,first post-fire year,North Division,frontage of prominent buildings erected,7691,,,feet,ANDREAS_V3_REBUILD,printed p. 60,"Prominent-building frontage only, not all construction.",high,false
EST-1872-ND-COST,1871,1872,first post-fire year,North Division,estimated cost of all kinds of buildings erected,6425000,,,USD nominal,ANDREAS_V3_REBUILD,printed p. 60,Historical nominal dollars; no inflation adjustment.,high,false
