assertion_id,building_id,field_name,asserted_value,source_keys,confidence,needs_review,research_note
CHI-POSTFIRE-CHI1872-001-A01,CHI-POSTFIRE-CHI1872-001,canonical_name,Page Brothers Building,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Official City narrative dates the building to 1872; the State Street facade and fifth story are a separate 1902 phase.
CHI-POSTFIRE-CHI1872-001-A02,CHI-POSTFIRE-CHI1872-001,year_completed,1872,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Official City narrative dates the building to 1872; the State Street facade and fifth story are a separate 1902 phase.
CHI-POSTFIRE-CHI1872-001-A03,CHI-POSTFIRE-CHI1872-001,address_historical,177-191 North State Street; north facade on Lake Street,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Official City narrative dates the building to 1872; the State Street facade and fifth story are a separate 1902 phase.
CHI-POSTFIRE-CHI1872-001-A04,CHI-POSTFIRE-CHI1872-001,architect_or_builder,John M. Van Osdel,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Official City narrative dates the building to 1872; the State Street facade and fifth story are a separate 1902 phase.
CHI-POSTFIRE-CHI1872-001-A05,CHI-POSTFIRE-CHI1872-001,structural_system,masonry with cast-iron north facade,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Official City narrative dates the building to 1872; the State Street facade and fifth story are a separate 1902 phase.
CHI-POSTFIRE-CHI1872-001-A06,CHI-POSTFIRE-CHI1872-001,construction_or_event_type,reconstruction,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Official City narrative dates the building to 1872; the State Street facade and fifth story are a separate 1902 phase.
CHI-POSTFIRE-CHI1872-001-A07,CHI-POSTFIRE-CHI1872-001,predecessor_or_rebuild_of,pre-fire commercial building on site,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Official City narrative dates the building to 1872; the State Street facade and fifth story are a separate 1902 phase.
CHI-POSTFIRE-CHI1872-001-A08,CHI-POSTFIRE-CHI1872-001,postfire_code_context,Built during the first-year rebuilding under the post-fire fire-limits regime; its surviving cast-iron facade preserves a construction technique common before the fire.,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Official City narrative dates the building to 1872; the State Street facade and fifth story are a separate 1902 phase.
CHI-POSTFIRE-CHI1872-002-A01,CHI-POSTFIRE-CHI1872-002,canonical_name,Holden Block,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Rare surviving Italianate commercial block with date and Holden name carved at the roofline.
CHI-POSTFIRE-CHI1872-002-A02,CHI-POSTFIRE-CHI1872-002,year_completed,1872,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Rare surviving Italianate commercial block with date and Holden name carved at the roofline.
CHI-POSTFIRE-CHI1872-002-A03,CHI-POSTFIRE-CHI1872-002,address_historical,1027 West Madison Street,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Rare surviving Italianate commercial block with date and Holden name carved at the roofline.
CHI-POSTFIRE-CHI1872-002-A04,CHI-POSTFIRE-CHI1872-002,architect_or_builder,Stephen V. Shipman,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Rare surviving Italianate commercial block with date and Holden name carved at the roofline.
CHI-POSTFIRE-CHI1872-002-A05,CHI-POSTFIRE-CHI1872-002,structural_system,masonry; Buena Vista sandstone facade,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Rare surviving Italianate commercial block with date and Holden name carved at the roofline.
CHI-POSTFIRE-CHI1872-002-A06,CHI-POSTFIRE-CHI1872-002,construction_or_event_type,new_construction,CITYLANDMARKS_API;CITYLANDMARKS_WEB,high,false,Rare surviving Italianate commercial block with date and Holden name carved at the roofline.
