building_event_id,building_id,event_type,event_date,date_precision,cause,description
CHI-POSTFIRE-CHI1872-001-E01,CHI-POSTFIRE-CHI1872-001,construction_start,1872,year-only,,reconstruction
CHI-POSTFIRE-CHI1872-001-E02,CHI-POSTFIRE-CHI1872-001,completion,1872,year-only,,reconstruction
CHI-POSTFIRE-CHI1872-001-E03,CHI-POSTFIRE-CHI1872-001,opening,1872,as_reported,,retail and commercial
CHI-POSTFIRE-CHI1872-002-E01,CHI-POSTFIRE-CHI1872-002,construction_start,1872,year-only,,new_construction
CHI-POSTFIRE-CHI1872-002-E02,CHI-POSTFIRE-CHI1872-002,completion,1872,year-only,,new_construction
CHI-POSTFIRE-CHI1872-002-E03,CHI-POSTFIRE-CHI1872-002,opening,1872,as_reported,,commercial lofts and stores
CHI-POSTFIRE-CHI1872-003-E01,CHI-POSTFIRE-CHI1872-003,construction_start,1872,approximate,,new_construction
CHI-POSTFIRE-CHI1872-003-E02,CHI-POSTFIRE-CHI1872-003,completion,1872,approximate,,new_construction
CHI-POSTFIRE-CHI1872-003-E03,CHI-POSTFIRE-CHI1872-003,opening,1872,as_reported,,residence
CHI-POSTFIRE-CHI1872-004-E01,CHI-POSTFIRE-CHI1872-004,construction_start,1872,range,,construction_start
CHI-POSTFIRE-CHI1872-004-E02,CHI-POSTFIRE-CHI1872-004,completion,1875,range,,construction_start
CHI-POSTFIRE-CHI1872-005-E01,CHI-POSTFIRE-CHI1872-005,construction_start,1872,range,,construction_start
CHI-POSTFIRE-CHI1872-005-E02,CHI-POSTFIRE-CHI1872-005,completion,1874,range,,construction_start
CHI-POSTFIRE-CHI1872-006-E01,CHI-POSTFIRE-CHI1872-006,construction_start,1871,exact,,reconstruction
CHI-POSTFIRE-CHI1872-006-E02,CHI-POSTFIRE-CHI1872-006,completion,1872,exact,,reconstruction
CHI-POSTFIRE-CHI1872-006-E03,CHI-POSTFIRE-CHI1872-006,opening,1872,as_reported,,"city offices, courts, recorder and law library"
CHI-POSTFIRE-CHI1872-006-E04,CHI-POSTFIRE-CHI1872-006,demolition_or_loss,1885,year-only,redevelopment,demolished
CHI-POSTFIRE-CHI1872-007-E01,CHI-POSTFIRE-CHI1872-007,construction_start,1871,exact,,reconstruction
CHI-POSTFIRE-CHI1872-007-E02,CHI-POSTFIRE-CHI1872-007,completion,1872,exact,,reconstruction
CHI-POSTFIRE-CHI1872-007-E03,CHI-POSTFIRE-CHI1872-007,opening,1872,as_reported,,commodity exchange and offices
CHI-POSTFIRE-CHI1872-007-E04,CHI-POSTFIRE-CHI1872-007,demolition_or_loss,1890,year-only,redevelopment,demolished
CHI-POSTFIRE-CHI1872-008-E01,CHI-POSTFIRE-CHI1872-008,construction_start,1871,exact,,reconstruction
CHI-POSTFIRE-CHI1872-008-E02,CHI-POSTFIRE-CHI1872-008,completion,1872,exact,,reconstruction
CHI-POSTFIRE-CHI1872-008-E03,CHI-POSTFIRE-CHI1872-008,opening,1872,as_reported,,newspaper offices and printing
CHI-POSTFIRE-CHI1872-008-E04,CHI-POSTFIRE-CHI1872-008,demolition_or_loss,1901,year-only,redevelopment,demolished
CHI-POSTFIRE-CHI1872-009-E01,CHI-POSTFIRE-CHI1872-009,construction_start,1871,year-only,,reconstruction
CHI-POSTFIRE-CHI1872-009-E02,CHI-POSTFIRE-CHI1872-009,completion,1872,year-only,,reconstruction
CHI-POSTFIRE-CHI1872-009-E03,CHI-POSTFIRE-CHI1872-009,opening,1872,as_reported,,bank and safe deposit
CHI-POSTFIRE-CHI1872-009-E04,CHI-POSTFIRE-CHI1872-009,demolition_or_loss,1883,year-only,redevelopment,demolished
CHI-POSTFIRE-CHI1872-010-E01,CHI-POSTFIRE-CHI1872-010,construction_start,1871,exact,,reconstruction
