building_name_id,building_id,name,name_type,sequence
CHI-POSTFIRE-CHI1872-001-N00,CHI-POSTFIRE-CHI1872-001,Page Brothers Building,canonical,0
CHI-POSTFIRE-CHI1872-001-N01,CHI-POSTFIRE-CHI1872-001,McCarthy Building,alternate,1
CHI-POSTFIRE-CHI1872-001-N02,CHI-POSTFIRE-CHI1872-001,State-Lake Building,alternate,2
CHI-POSTFIRE-CHI1872-002-N00,CHI-POSTFIRE-CHI1872-002,Holden Block,canonical,0
CHI-POSTFIRE-CHI1872-003-N00,CHI-POSTFIRE-CHI1872-003,John and Clara Merchant House,canonical,0
CHI-POSTFIRE-CHI1872-003-N01,CHI-POSTFIRE-CHI1872-003,Merchant House,alternate,1
CHI-POSTFIRE-CHI1872-004-N00,CHI-POSTFIRE-CHI1872-004,Lake-Franklin Group,canonical,0
CHI-POSTFIRE-CHI1872-004-N01,CHI-POSTFIRE-CHI1872-004,Lake Street mercantile loft group,alternate,1
CHI-POSTFIRE-CHI1872-005-N00,CHI-POSTFIRE-CHI1872-005,Delaware Building,canonical,0
CHI-POSTFIRE-CHI1872-006-N00,CHI-POSTFIRE-CHI1872-006,Temporary City Hall and Court House,canonical,0
CHI-POSTFIRE-CHI1872-006-N01,CHI-POSTFIRE-CHI1872-006,Old Rookery,alternate,1
CHI-POSTFIRE-CHI1872-006-N02,CHI-POSTFIRE-CHI1872-006,Temporary Court House,alternate,2
CHI-POSTFIRE-CHI1872-007-N00,CHI-POSTFIRE-CHI1872-007,Chamber of Commerce II,canonical,0
CHI-POSTFIRE-CHI1872-007-N01,CHI-POSTFIRE-CHI1872-007,Board of Trade Chamber of Commerce,alternate,1
CHI-POSTFIRE-CHI1872-008-N00,CHI-POSTFIRE-CHI1872-008,Chicago Tribune Building II,canonical,0
CHI-POSTFIRE-CHI1872-008-N01,CHI-POSTFIRE-CHI1872-008,Tribune Building,alternate,1
CHI-POSTFIRE-CHI1872-009-N00,CHI-POSTFIRE-CHI1872-009,First National Bank Building III,canonical,0
CHI-POSTFIRE-CHI1872-009-N01,CHI-POSTFIRE-CHI1872-009,First National Bank restoration,alternate,1
CHI-POSTFIRE-CHI1872-010-N00,CHI-POSTFIRE-CHI1872-010,J. V. Farwell & Company Block III,canonical,0
CHI-POSTFIRE-CHI1872-010-N01,CHI-POSTFIRE-CHI1872-010,Farwell Block,alternate,1
CHI-POSTFIRE-CHI1872-011-N00,CHI-POSTFIRE-CHI1872-011,Reed Block,canonical,0
CHI-POSTFIRE-CHI1872-011-N01,CHI-POSTFIRE-CHI1872-011,Hibbard & Spencer Building,alternate,1
CHI-POSTFIRE-CHI1872-012-N00,CHI-POSTFIRE-CHI1872-012,Superior Block,canonical,0
CHI-POSTFIRE-CHI1872-012-N01,CHI-POSTFIRE-CHI1872-012,Fowler-Goodell-Walters Block,alternate,1
CHI-POSTFIRE-CHI1872-013-N00,CHI-POSTFIRE-CHI1872-013,William Blair Building,canonical,0
CHI-POSTFIRE-CHI1872-013-N01,CHI-POSTFIRE-CHI1872-013,Blair hardware building,alternate,1
CHI-POSTFIRE-CHI1872-014-N00,CHI-POSTFIRE-CHI1872-014,Armour Building II,canonical,0
CHI-POSTFIRE-CHI1872-015-N00,CHI-POSTFIRE-CHI1872-015,Leander McCormick Building,canonical,0
CHI-POSTFIRE-CHI1872-015-N01,CHI-POSTFIRE-CHI1872-015,McCormick Building at Lake and Wabash,alternate,1
CHI-POSTFIRE-CHI1872-016-N00,CHI-POSTFIRE-CHI1872-016,Garrett Building II,canonical,0
CHI-POSTFIRE-CHI1872-017-N00,CHI-POSTFIRE-CHI1872-017,Oriental Building II,canonical,0
CHI-POSTFIRE-CHI1872-017-N01,CHI-POSTFIRE-CHI1872-017,Oriental Block,alternate,1
CHI-POSTFIRE-CHI1872-018-N00,CHI-POSTFIRE-CHI1872-018,Major Block II,canonical,0
CHI-POSTFIRE-CHI1872-018-N01,CHI-POSTFIRE-CHI1872-018,Roanoke Building I,alternate,1
CHI-POSTFIRE-CHI1872-019-N00,CHI-POSTFIRE-CHI1872-019,M. D. Wells & Company Building,canonical,0
CHI-POSTFIRE-CHI1872-020-N00,CHI-POSTFIRE-CHI1872-020,Morrison Building,canonical,0
CHI-POSTFIRE-CHI1872-020-N01,CHI-POSTFIRE-CHI1872-020,E. W. Morrison Building,alternate,1
CHI-POSTFIRE-CHI1872-021-N00,CHI-POSTFIRE-CHI1872-021,Morrison Block III,canonical,0
CHI-POSTFIRE-CHI1872-021-N01,CHI-POSTFIRE-CHI1872-021,Morrison Hotel I,alternate,1
CHI-POSTFIRE-CHI1872-022-N00,CHI-POSTFIRE-CHI1872-022,C. M. Henderson and Company Building,canonical,0
CHI-POSTFIRE-CHI1872-023-N00,CHI-POSTFIRE-CHI1872-023,Pike's Block,canonical,0
CHI-POSTFIRE-CHI1872-023-N01,CHI-POSTFIRE-CHI1872-023,Ayer Building,alternate,1
CHI-POSTFIRE-CHI1872-024-N00,CHI-POSTFIRE-CHI1872-024,Schweizer Block,canonical,0
CHI-POSTFIRE-CHI1872-025-N00,CHI-POSTFIRE-CHI1872-025,Robbins Building III,canonical,0
CHI-POSTFIRE-CHI1872-025-N01,CHI-POSTFIRE-CHI1872-025,"Crerar, Adams & Co. Building",alternate,1
CHI-POSTFIRE-CHI1872-026-N00,CHI-POSTFIRE-CHI1872-026,William B. Pierce Building,canonical,0
CHI-POSTFIRE-CHI1872-026-N01,CHI-POSTFIRE-CHI1872-026,Iron Front Building,alternate,1
CHI-POSTFIRE-CHI1872-027-N00,CHI-POSTFIRE-CHI1872-027,Chicago Type Foundry II,canonical,0
CHI-POSTFIRE-CHI1872-027-N01,CHI-POSTFIRE-CHI1872-027,"Marder, Luse & Co. Building",alternate,1
CHI-POSTFIRE-CHI1872-028-N00,CHI-POSTFIRE-CHI1872-028,Fidelity Savings Bank and Safe Depository II,canonical,0
CHI-POSTFIRE-CHI1872-029-N00,CHI-POSTFIRE-CHI1872-029,Inter-Ocean Building I,canonical,0
CHI-POSTFIRE-CHI1872-030-N00,CHI-POSTFIRE-CHI1872-030,Grocers' Block,canonical,0
