relationship_id,from_building_id,to_building_id,to_building_name,relationship_type,resolution_status,notes
CHI-POSTFIRE-CHI1872-001-R01,CHI-POSTFIRE-CHI1872-001,,pre-fire commercial building on site,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-006-R01,CHI-POSTFIRE-CHI1872-006,,city and county offices destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-007-R01,CHI-POSTFIRE-CHI1872-007,,Chamber of Commerce I destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-008-R01,CHI-POSTFIRE-CHI1872-008,,Tribune Building I destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-009-R01,CHI-POSTFIRE-CHI1872-009,,First National Bank Building II fire-damaged in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-010-R01,CHI-POSTFIRE-CHI1872-010,,Farwell commercial property lost in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-011-R01,CHI-POSTFIRE-CHI1872-011,,Hibbard & Spencer premises destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-014-R01,CHI-POSTFIRE-CHI1872-014,,pre-fire Armour building/site,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-016-R01,CHI-POSTFIRE-CHI1872-016,,Garrett Building destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-017-R01,CHI-POSTFIRE-CHI1872-017,,Oriental Building I destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-018-R01,CHI-POSTFIRE-CHI1872-018,,Major Block I destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-019-R01,CHI-POSTFIRE-CHI1872-019,,firm premises destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-020-R01,CHI-POSTFIRE-CHI1872-020,,Morrison commercial buildings destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-021-R01,CHI-POSTFIRE-CHI1872-021,,Morrison Block destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-022-R01,CHI-POSTFIRE-CHI1872-022,,firm premises destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-025-R01,CHI-POSTFIRE-CHI1872-025,,Robbins Block destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-027-R01,CHI-POSTFIRE-CHI1872-027,,Chicago Type Foundry destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-028-R01,CHI-POSTFIRE-CHI1872-028,,Fidelity facilities destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-032-R01,CHI-POSTFIRE-CHI1872-032,,Hall company building destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-033-R01,CHI-POSTFIRE-CHI1872-033,,Buck and Rayner Building fire-damaged in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-035-R01,CHI-POSTFIRE-CHI1872-035,,Marine Bank property destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-036-R01,CHI-POSTFIRE-CHI1872-036,,Keith Brothers premises destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-037-R01,CHI-POSTFIRE-CHI1872-037,,McVicker's Theatre II destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-044-R01,CHI-POSTFIRE-CHI1872-044,,pre-fire St. Charles Hotel destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-045-R01,CHI-POSTFIRE-CHI1872-045,,pre-fire Massasoit House,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-046-R01,CHI-POSTFIRE-CHI1872-046,,pre-fire Matteson House at Randolph and Dearborn Streets,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-047-R01,CHI-POSTFIRE-CHI1872-047,,joint depot destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-048-R01,CHI-POSTFIRE-CHI1872-048,,nearly completed pre-fire Lakeside Building destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-049-R01,CHI-POSTFIRE-CHI1872-049,,Palmer House I destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-050-R01,CHI-POSTFIRE-CHI1872-050,,Grand Pacific Hotel I destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
