building_source_id,building_id,source_key,relationship
CHI-POSTFIRE-CHI1872-001-S01,CHI-POSTFIRE-CHI1872-001,CITYLANDMARKS_API,supports_record
CHI-POSTFIRE-CHI1872-001-S02,CHI-POSTFIRE-CHI1872-001,CITYLANDMARKS_WEB,supports_record
CHI-POSTFIRE-CHI1872-002-S01,CHI-POSTFIRE-CHI1872-002,CITYLANDMARKS_API,supports_record
CHI-POSTFIRE-CHI1872-002-S02,CHI-POSTFIRE-CHI1872-002,CITYLANDMARKS_WEB,supports_record
CHI-POSTFIRE-CHI1872-003-S01,CHI-POSTFIRE-CHI1872-003,CITYLANDMARKS_API,supports_record
CHI-POSTFIRE-CHI1872-003-S02,CHI-POSTFIRE-CHI1872-003,CITYLANDMARKS_WEB,supports_record
CHI-POSTFIRE-CHI1872-004-S01,CHI-POSTFIRE-CHI1872-004,CITYLANDMARKS_API,supports_record
CHI-POSTFIRE-CHI1872-004-S02,CHI-POSTFIRE-CHI1872-004,CITYLANDMARKS_WEB,supports_record
CHI-POSTFIRE-CHI1872-005-S01,CHI-POSTFIRE-CHI1872-005,CITYLANDMARKS_API,supports_record
CHI-POSTFIRE-CHI1872-005-S02,CHI-POSTFIRE-CHI1872-005,CITYLANDMARKS_WEB,supports_record
CHI-POSTFIRE-CHI1872-006-S01,CHI-POSTFIRE-CHI1872-006,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-007-S01,CHI-POSTFIRE-CHI1872-007,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-007-S02,CHI-POSTFIRE-CHI1872-007,TAYLOR1917CBOT,supports_record
CHI-POSTFIRE-CHI1872-007-S03,CHI-POSTFIRE-CHI1872-007,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-008-S01,CHI-POSTFIRE-CHI1872-008,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-009-S01,CHI-POSTFIRE-CHI1872-009,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-009-S02,CHI-POSTFIRE-CHI1872-009,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-010-S01,CHI-POSTFIRE-CHI1872-010,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-010-S02,CHI-POSTFIRE-CHI1872-010,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-011-S01,CHI-POSTFIRE-CHI1872-011,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-012-S01,CHI-POSTFIRE-CHI1872-012,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-013-S01,CHI-POSTFIRE-CHI1872-013,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-014-S01,CHI-POSTFIRE-CHI1872-014,CHICAG_REBUILD,supports_record
