building_id,research_record_id,research_year,canonical_name,year_started,year_completed,completion_precision,year_opened,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,height_ft,construction_or_event_type,predecessor_or_rebuild_of,postfire_code_context,notes,confidence,needs_review
CHI-POSTFIRE-CHI1872-040,CHI1872-040,1872,720 North Wells Street Building,1872,1872,year-only,1872,2024,approximate,redevelopment,demolished,720 North Wells Street,720 N Wells St,,,commercial building,mixed commercial uses,unknown,,brick with cast-iron storefront,3,,new_construction,,"Rare North Side post-fire architecture; sources report work began before a February 1872 code update, but permit evidence remains to be acquired.",Preservation Chicago documents the 1872 date and demolition; exact demolition month and original owner require archival verification.,medium,true
CHI-POSTFIRE-CHI1872-085,CHI1872-085,1872,Adams Street Bridge Reconstruction,1871,1872,range,1872,,,,replaced,Adams Street crossing South Branch,,,,movable bridge,transportation infrastructure,,City of Chicago,,,,reconstruction,Adams Street bridge rendered impassable in 1871 fire,Municipal infrastructure funded partly through Illinois canal-refund appropriation.,One of eight named bridges repaired immediately and completed within one year of the fire.,high,false
CHI-POSTFIRE-CHI1872-088,CHI1872-088,1872,Aiken's Theatre II,1872,1872,exact,1872,,,,demolished,,,,,theater,theater and concert venue,,James Aiken,,,,new_construction,Aiken's Theatre lost in 1871 fire,Entertainment replacement after the fire; address and construction material unresolved.,Opened October 7 1872 with a series of concerts; Andreas supports opening but fuller building description requires theater-history follow-up.,medium,true
CHI-POSTFIRE-CHI1872-014,CHI1872-014,1872,Armour Building II,1872,1872,approximate,1872,,,,demolished,northeast corner Randolph Street and Michigan Avenue; 102 Michigan Avenue,,,,office building,railroad general offices,,George Armour,,5,,reconstruction,pre-fire Armour building/site,Post-fire masonry commercial reconstruction; exact code compliance unverified.,A June 1872 notice describes a five-story 90-by-130-foot building; Chicago Burlington & Quincy occupied the upper four stories in December. Chicagology rebuilding008.,medium,true
CHI-POSTFIRE-CHI1872-072,CHI1872-072,1872,Bemis and McAvoy Brewery Addition,1871,1872,range,1872,,,,demolished,South Park Avenue near Twenty-third Street,,,,brewery,beer production,,Bemis & McAvoy Brewing Company,masonry,,,addition,Bemis and McAvoy brewery complex,Industrial expansion outside principal burned core.,Large addition to brewery proper made in 1871-72; phase endpoint is recorded as 1872 but exact month unknown.,high,true
CHI-POSTFIRE-CHI1872-071,CHI1872-071,1872,Bemis and McAvoy Brewery Ice House No. 1,1872,1872,year-only,1872,,,,demolished,west side South Park Avenue near Twenty-third Street,,,,ice house,brewery ice storage,,Bemis & McAvoy Brewing Company,masonry,,,addition,Bemis and McAvoy brewery complex,Industrial addition outside principal burned core; no direct code claim.,"One of a sequence of west-side ice houses explicitly dated 1872, 1874, 1875 and 1876; only the 1872 unit is recorded here.",high,true
CHI-POSTFIRE-CHI1872-068,CHI1872-068,1872,Bournique Dancing Academy II,1872,1872,exact,1872,,,,demolished,Twenty-fourth Street between Michigan and Indiana Avenues,,,,dance academy,dance instruction and assemblies,,Bournique family,brick,,,new_construction,downtown Bournique academy destroyed in 1871 fire,Brick replacement outside the core burned district.,Erected in summer 1872; capacity doubled in 1874. Not to be confused with the 1882-84 Twenty-third Street academy.,high,false
CHI-POSTFIRE-CHI1872-069,CHI1872-069,1872,Brachvogel Picture-Frame Factory,1872,1872,year-only,1872,,,,demolished,22-24 South Jefferson Street,,,,factory,"picture frames, mirrors and engravings",,Charles Brachvogel,masonry,,,new_construction,,Industrial construction west of the core burned district; no direct fire-code evidence.,Andreas states Brachvogel built the factory structure occupied by the later company in 1872; street-number continuity should be checked against directories.,high,true
CHI-POSTFIRE-CHI1872-031,CHI1872-031,1872,Brevoort House I,1872,1872,exact,1872,1906,year-only,redevelopment,demolished,north side Madison Street between Clark and LaSalle Streets,,,,hotel,hotel,Dixon & Hamilton,C. H. Thompson,masonry; fire plugs and hose,5,,new_construction,,Contemporary description emphasized fire plugs and two fireproof vaults but complete fire resistance is not inferred.,Opened in November 1872 with 125 sleeping rooms; later hotel identity and a south adjoining A. Crocker building must remain separate. Chicagology rebuilding113.,medium,false
CHI-POSTFIRE-CHI1872-033,CHI1872-033,1872,Buck and Rayner Building II,1871,1872,approximate,1872,1904,year-only,redevelopment,demolished,southwest corner State and Madison Streets,,,,commercial building,drugstore and offices,,Buck & Rayner; later Otis interests,reused surviving masonry walls,3,,reconstruction,Buck and Rayner Building fire-damaged in 1871,Reconstruction incorporated surviving pre-fire walls; not wholly new construction.,Rebuilt immediately after the fire and photographed in August 1872; later source says part of the 1868 walls survived. Chicagology rebuilding116.,medium,true
CHI-POSTFIRE-CHI1872-067,CHI1872-067,1872,C. L. Rice and Company Machine Shops and Warerooms,1871,1872,year-only,1872,,,,demolished,corner Canal and Harrison Streets,,,,factory and warehouse,machinery shops and sales,,C. L. Rice & Co.,masonry,,,reconstruction,Dearborn/Madison machinery premises destroyed in 1871 fire,Industrial relocation west of the core burned district.,Construction began at once after the fire; occupied in fall 1872 and business sold to Kirkwood and Dunklee about then.,high,false
CHI-POSTFIRE-CHI1872-022,CHI1872-022,1872,C. M. Henderson and Company Building,1872,1872,approximate,1872,1949,approximate,redevelopment,demolished,southeast corner Franklin and Madison Streets; formerly 235 Madison,329 W Madison St,,,warehouse,boots and shoes wholesale,Burling & Adler,C. M. Henderson & Co.,masonry,5,,reconstruction,firm premises destroyed in 1871 fire,Masonry warehouse in the new post-fire wholesale district.,Contemporary September 1872 feature documents the new building; exact completion date and demolition year remain approximate. Chicagology rebuilding097.,medium,true
