media_id,building_id,media_type,title,depicted_year,source_url,local_path,rights_statement,credit_line,notes
MEDIA-MAP-1872-MAYER,,historical_map,Map of the city of Chicago,1872,https://commons.wikimedia.org/wiki/File:1872_Chicago_map_by_Mayer.jpg,maps/images/1872_mayer_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; UW-Milwaukee Libraries,"Projected from a trigonometrical survey at approximately 1:20,000; primary annual control for 1872. Local file is a reduced derivative of the 7,665-by-9,083-pixel Commons original."
MEDIA-MAP-1873-WARNER-BEERS,,historical_map,1873 Map of the City of Chicago,1873,https://commons.wikimedia.org/wiki/File:1873_Chicago_map_by_Warner_%26_Beers.jpg,maps/images/1873_warner_beers_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; HJB Maps source,Strong city-extent and transportation reference; not a systematic building-footprint survey.
MEDIA-MAP-1874-MITCHELL,,historical_map,"Mitchell's plan of the city of Chicago, Illinois",1874,https://commons.wikimedia.org/wiki/File:1874_Mitchell_Map_of_Chicago.jpg,maps/images/1874_mitchell_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; Geographicus Rare Antique Maps source,"Approximately 1:31,680 annual city reference. Use the separate 1874 bird's-eye only as pictorial context for the July fire event."
MEDIA-MAP-1874-FIRE,,historical_map,"The City of Chicago, showing the burnt district",1874,https://commons.wikimedia.org/wiki/File:The_City_of_Chicago%2C_showing_the_burnt_district._LOC_75693037.jpg,maps/images/1874_fire_burnt_district.jpg,public_domain,"Library of Congress, Geography and Map Division, shelf G4104.C6A3 1874 .C5; public-domain scan via Wikimedia Commons","Pictorial event reference only, not a fire-footprint geometry source. Do not warp or derive building fate/polygon boundaries from it. Local file is a reduced derivative of the 6,384-by-4,576-pixel Commons original."
MEDIA-MAP-1875-WARNER-BEERS,,historical_map,1875 Map of the City of Chicago,1875,https://commons.wikimedia.org/wiki/File:1875_Chicago_map_by_Warner_%26_Beers.jpg,maps/images/1875_warner_beers_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; Geographicus Rare Antique Maps source,Useful annual reference; institutional repository metadata should be strengthened before survey-grade use.
MEDIA-MAP-1876-WARNER-BEERS,,historical_map,Map of Chicago City,1876,https://commons.wikimedia.org/wiki/File:1876_Chicago_by_Warner_%26_Beers.jpg,maps/images/1876_warner_beers_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; David Rumsey Historical Map Collection 1159.006,"Approximately 1:35,500. Local file is a reduced derivative of the 4,053-by-5,158-pixel Commons original."
MEDIA-MAP-1877-MITCHELL,,historical_map,"Mitchell's plan of the city of Chicago, Illinois",1877,https://commons.wikimedia.org/wiki/File:1877_Mitchell%27s_map_of_Chicago.jpg,maps/images/1877_mitchell_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; source credited by Commons to Antique Maps & Globes,"Approximately 1:31,680; annual extent/street reference rather than building inventory. Institutional repository metadata should be added before survey-grade use."
MEDIA-MAP-1878-EDSALL,,historical_map,Travelers' and shippers' railway guide map of Chicago,1878,https://commons.wikimedia.org/wiki/File:1878_Travelers_and_shippers_railway_guide_map_of_Chicago.jpg,maps/images/1878_railway_guide_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; Norman B. Leventhal Map Center/Boston Public Library,"Approximately 1:12,000 and therefore a strong transportation and block-scale annual reference. Local file is a reduced derivative of the 6,828-by-8,845-pixel Commons original."
MEDIA-MAP-1879-KLINCKERFUS-RICHTER,,historical_map,"Bird's Eye View of Chicago, 1879",1879,https://commons.wikimedia.org/wiki/File:1879_Birds_eye_view_of_Chicago.jpg,maps/images/1879_birds_eye_view.jpg,public_domain,Public-domain scan via Wikimedia Commons; Chicago Historical Society ICHi-05679,"Primary visual/massing reference, not cadastral geometry; use qualitatively and do not warp as a survey map."
MEDIA-ANDREAS-V3-P60,,source_scan,"Andreas volume III, printed page 60 — first-year rebuilding totals",1871-1872,https://archive.org/details/historyofchicago03andruoft/page/n83/mode/1up,research/source_scans/andreas_v3_p60_rebuilding_totals.jpg,public_domain,"A. T. Andreas, History of Chicago, volume III (1886); Internet Archive scan","Supports first-year height, frontage, division-cost, fire-limit, material, bridge, and viaduct evidence."
MEDIA-ANDREAS-V3-P67,,source_scan,"Andreas volume III, printed page 67 — 1877–1885 permit/building table",1877-1885,https://archive.org/details/historyofchicago03andruoft/page/n94/mode/1up,research/source_scans/andreas_v3_p67_permit_table.jpg,public_domain,"A. T. Andreas, History of Chicago, volume III (1886); Internet Archive scan","Supports annual building, frontage, story, façade-material, partial-use, and nominal-cost measurements."
