source_key,title,author,publisher,publication_date,url,source_type,reliability_tier,locator,accessed_at,rights_notes,notes
AICEXPO,Interstate Industrial Exposition Index,Ryerson and Burnham Libraries and Archives,Art Institute of Chicago,,https://artic.contentdm.oclc.org/digital/collection/interstate,archive_collection_guide,1,collection introduction,2026-08-03,Check item-level rights; collection description is factual metadata,"Identifies W. W. Boyington, 200-by-800-foot dimensions, annual operation 1873-1890, and demolition in 1890."
AIC_ARCH_INDEX,Ryerson and Burnham Archives Archival Image Collection: Architectural Subjects Index,Art Institute of Chicago,Art Institute of Chicago,,https://artic.contentdm.oclc.org/digital/api/collection/findingaids/id/16290/download,archival_finding_aid,Tier 1,"George M. Pullman House entries, 1729 S. Prairie Ave.",2026-08-03,Finding-aid text may be cited; image rights vary by collection item.,Indexes 1876 designs by Henry S. Jaffray and John Mathew Dunphy and later 1880s work by Solon S. Beman; attribution remains ambiguous.
AIC_CRILLY_FINDING_AID,Chicago Architectural Photographing Company records finding aid,Ryerson and Burnham Archives,Art Institute of Chicago,,https://artic.contentdm.oclc.org/digital/api/collection/findingaids/id/29708/download,archival_finding_aid,Tier 1,"Item inventory: Crilly Building (1878), NE corner W. Monroe and S. Dearborn",2026-08-03,Finding-aid text is copyrighted; archival photographs have item-specific rights.,"Corroborates date, location, and unknown architect; notes a collection photograph."
AND1886V3,"History of Chicago, Volume III: From the Fire of 1871 until 1885",A. T. Andreas,A. T. Andreas,1886,https://archive.org/details/historyofchicago03andruoft,historical_monograph,2,printed pp. 59-64; 104; 132-133; 295-296; 357-362; 767-818 and topical business chapters,2026-08-03,Public domain; Internet Archive scan,Principal retrospective source. Event-level wording was checked in topical chapters and not inferred only from the architecture summary.
ANDREAS_V3,"History of Chicago, Volume III: From the Fire of 1871 Until 1885",A. T. Andreas,A. T. Andreas,1886,https://archive.org/details/historyofchicago03andruoft,digitized historical monograph,Tier 2,"printed pp. 79, 210-212, 329, 337, 377-378, 461-462, 526-527, 664-665, 676-677, 765, 769-770, 797-799, 805-806",2026-08-03,Public domain; Internet Archive scan/OCR; cite item and printed page.,Primary compilation used for named 1874 construction phases and the July 1874 fire/code context; OCR-sensitive facts were checked against page context.
ANDREAS_V3_PERMITS,"History of Chicago, Volume III: annual building-permit table",A. T. Andreas,A. T. Andreas,1886,https://archive.org/details/historyofchicago03andruoft,statistical_table,Tier 2,"printed p. 67, 1877 row",2026-08-03,Public domain; local crop retained as research media.,Aggregate construction-flow evidence only: it does not identify individual buildings and was not expanded into anonymous records.
ANDREAS_V3_REBUILD,"History of Chicago, Volume III: annual rebuilding statistics",A. T. Andreas,A. T. Andreas,1886,https://archive.org/details/historyofchicago03andruoft,historical_statistical_table,Tier 2,"Rebuilding and annual construction table, printed p. 67",2026-08-03,Public domain; Internet Archive scan.,"Reports 1,093 buildings permitted in 1879, aggregate frontage, value, height classes, facade materials, and selected uses; aggregate counts cannot identify individual buildings."
ARCHDICT_THOMAS,"Thomas, Cyrus Pole",Robert G. Hill,Biographical Dictionary of Architects in Canada,,https://dictionaryofarchitectsincanada.org/node/1354,scholarly_biographical_dictionary,Tier 2,"Works in Chicago, 1877-79: Chicago Athenaeum, T. B. Campbell residence, B. R. Chambers block, L. B. Brasher flats, and Daniel Wells block",2026-08-03,Modern reference text is copyrighted; link and paraphrase only.,Project list cites specific 1877-79 Chicago Tribune notices and supplies architect/client attribution.
CAC_HOLY_NAME,Holy Name Cathedral,Chicago Architecture Center,Chicago Architecture Center,,https://www.architecture.org/online-resources/buildings-of-chicago/holy-name-cathedral,institutional_architecture_record,Tier 2,"Original completion date, address, architect, style",2026-08-03,Website content and images are copyrighted; factual metadata only used.,Corroborates Andreas with 1875 completion and Patrick C. Keely attribution.
CHAMBERLIN1874,Chicago and Its Suburbs,Everett Chamberlin,T. A. Hungerford & Company,1874,https://archive.org/details/chicagoitssuburb00cham,contemporary_city_history,1,pp. 96-97; chapter 'The New Chicago',2026-08-03,Public domain; Internet Archive/Library of Congress scan,Near-contemporary synthesis explicitly identifies buildings finished in the year ending October 9 1873 and distinguishes opening dates for the major hotels and railroad depot.
