source_key,title,author,publisher,publication_date,url,source_type,reliability_tier,locator,accessed_at,rights_notes,notes
AND1886V3,"History of Chicago, Volume III: From the Fire of 1871 until 1885","A. T. Andreas","A. T. Andreas",1886,https://archive.org/details/historyofchicago03andruoft,historical_monograph,2,"printed pp. 63-65, 127-144, 160, 353-360, 422, 524, 785-830",2026-08-03,"Public domain; Internet Archive scan","Principal retrospective source; completion/opening distinctions were checked within its topical chapters and printed construction tables rather than relying only on its architecture summary."
LOC1873EXPO,"Official catalogue of the Inter-State Industrial Exposition of Chicago, Ill.","Chicago Inter-State Industrial Exposition","Staats-Zeitung Job Printing Co.",1873,https://www.loc.gov/item/05028675/,contemporary_catalogue,1,"catalogue and title record",2026-08-03,"Public domain; free to use and reuse; credit Library of Congress","Contemporary evidence for the 1873 exposition and a media/research source."
AICEXPO,"Interstate Industrial Exposition Index","Ryerson and Burnham Libraries and Archives","Art Institute of Chicago",,https://artic.contentdm.oclc.org/digital/collection/interstate,archive_collection_guide,1,"collection introduction",2026-08-03,"Check item-level rights; collection description is factual metadata","Identifies W. W. Boyington, 200-by-800-foot dimensions, annual operation 1873-1890, and demolition in 1890."
CPLHIST,"CPL History","Chicago Public Library","Chicago Public Library",,https://www.chipublib.org/cpl-history/,official_institutional_history,1,"1873 entry",2026-08-03,"Website text; seek item-level permission/rights for reproduced photographs","Confirms January 1 opening in surviving circular water tank at southeast LaSalle and Adams."
CPLARCH,"Chicago Public Library Archives","Chicago Public Library","Chicago Public Library",,https://www.chipublib.org/chicago-public-library-archives/,official_archive_guide,1,"1873 Book Room in the Old Water Tank entry",2026-08-03,"Check digital-object rights and credit requirements","Media candidate and independent institutional confirmation of the tank use."
LOC1874VIEW,"The City of Chicago","Parsons & Atwater; Currier & Ives","Library of Congress",1874,https://www.loc.gov/pictures/item/90715977/,birdseye_view,1,"PGA - Currier & Ives--City of Chicago (E size)",2026-08-03,"No known restrictions on publication; credit Library of Congress Prints and Photographs Division","Best near-year citywide visual surrogate for a 1873 map layer; date must be displayed as 1874, not silently relabeled 1873."
LOC1871VIEW,"Bird's-eye-view of Chicago as it was before the great fire","Theodore R. Davis","Library of Congress",1871,https://www.loc.gov/item/74693213/,birdseye_view,1,"G4104.C6A35 1871 .D3",2026-08-03,"Geography and Map Division digitized content free to use/reuse absent a rights advisory; credit Library of Congress","Pre-fire comparison layer; indexed view from Harper's Weekly."
LOCOLMSTED,"Chicago's South Park by Frederick Law Olmsted","Julie Stoner","Library of Congress blog",2022-05-18,https://blogs.loc.gov/maps/2022/05/olmsted-bicentennial/,curatorial_essay,2,"paragraph on 1873 preliminary construction",2026-08-03,"Underlying historic maps require their own item-level credit/rights review","Confirms only limited preliminary South Park construction in 1873 and points to the 1871 plan."
CHICAGOLAKESIDE,"Lakeside Building","Chicagology","Chicagology",,https://chicagology.com/rebuilding/rebuilding010/,source_transcription_and_compilation,3,"1871 Tribune; 1872 Weekly Post/Land Owner; 1873 directory excerpts",2026-08-03,"Historic quoted texts and images may be public domain; verify provenance before reuse","Used as a finding aid and cross-check for location, architect attribution, dimensions, and 1872 construction; Andreas remains completion authority."
NPSPRAIRIE,"The Glessner House Museum and Prairie Avenue Historic District","National Park Service","National Park Service",,https://www.nps.gov/places/the-glessner-house-museum-and-prairie-avenue-historic-district.htm,official_place_history,1,"Prairie Avenue overview",2026-08-03,"Federal website content generally reusable unless otherwise credited; image is courtesy Glessner House Museum","Consulted to test the supplied George Pullman mansion lead; it confirms the mansion's former presence but not a 1873 construction date, so no row was admitted."
CHAMBERLIN1874,"Chicago and Its Suburbs","Everett Chamberlin","T. A. Hungerford & Company",1874,https://archive.org/details/chicagoitssuburb00cham,contemporary_city_history,1,"pp. 96-97; chapter 'The New Chicago'",2026-08-03,"Public domain; Internet Archive/Library of Congress scan","Near-contemporary synthesis explicitly identifies buildings finished in the year ending October 9 1873 and distinguishes opening dates for the major hotels and railroad depot."
CITYLANDMARKSAPI,"Chicago Landmarks: Individual Landmarks","Chicago Department of Planning and Development","City of Chicago",2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,official_open_data,1,"API snapshot downloaded 2026-08-03; 412 records",2026-08-03,"City open-data terms apply; geometry and factual metadata are reusable subject to portal terms","Landmark-only inventory used for current addresses date ranges architects and geometry; it is not treated as a complete building inventory."
CITYCOUNCIL_WASHINGTON,"Designation of Washington Block as a Chicago Landmark","Chicago City Council","City of Chicago",1997-01-14,https://chicityclerk.s3.amazonaws.com/s3fs-public/document_uploads/journals-proceedings/1997/011497VII.pdf,official_landmark_ordinance,1,"ordinance findings for 40 N. Wells Street",2026-08-03,"Public government record","Official finding dates construction to 1873-1874 and identifies Frederick and Edward Baumann and the isolated-pier foundation."
CITYCOUNCIL_LAKEFRANKLIN,"Designation of Lake and Franklin Buildings as a Chicago Landmark","Chicago City Council","City of Chicago",1997-02-26,https://chicityclerk.s3.amazonaws.com/s3fs-public/document_uploads/journals-proceedings/1997/022697VII.pdf,official_landmark_ordinance,1,"pp. 40094-40098",2026-08-03,"Public government record","Official finding identifies the Cole and Rowney buildings within the protected ensemble and attributes both to Burling and Adler; year is corroborated by architectural inventories."
CHICAGOLOGY_STAATS,"Illinois Staats-Zeitung Building","Chicagology","Chicagology",,https://chicagology.com/rebuilding/rebuilding120/,source_transcription_and_compilation,3,"Inter Ocean 1872 and Illinois Staats-Zeitung April 8 1873 excerpts",2026-08-03,"Underlying nineteenth-century newspaper text is public domain; verify image provenance separately","Finding aid preserving a contemporary possession notice and detailed dimensions architect owner materials and use."
