year_record_id,canonical_name,alternate_names,year_started,year_completed,completion_precision,year_opened,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,height_ft,construction_or_event_type,predecessor_or_rebuild_of,postfire_code_context,notes,source_keys,confidence,needs_review
CHI1875-001,Holy Name Cathedral,Cathedral of the Holy Name,1874,1875,exact,1875,,,,extant/altered,"State and Superior Streets","735 N State St",41.8959,-87.6280,cathedral,Roman Catholic cathedral,"Patrick Charles Keely; John M. Dunphy (builder)",Diocese of Chicago,"solid rock-faced stone masonry; Gothic roof",,210,new_construction,"Cathedral of St. Mary and Church of the Holy Name destroyed in 1871","Within the expanded fire-limits context; an all-masonry ecclesiastical replacement followed the destruction of two Catholic predecessors.","Cornerstone laid July 19, 1874; completed and dedicated November 21, 1875. Andreas OCR gives an inconsistent November 1 opening, so the cathedral and Chicago History Museum date controls.","ANDREAS_V3;CAC_HOLY_NAME;EOC_CHURCH_ARCH",high,false
CHI1875-002,St. James's Episcopal Church reconstruction,"St. James Church; St. James Cathedral",1872,1875,exact,1875,,,,extant/altered,"Cass Street at Huron Street","65 E Huron St",41.8944,-87.6255,church,Episcopal worship,"Edward J. Burling and Dankmar Adler; John H. Edelmann (assisting)",St. James Episcopal parish,"masonry church incorporating surviving stone walls and bell tower",,,completed_reconstruction,"St. James church largely destroyed in the Great Chicago Fire","A post-fire masonry reconstruction retained documented surviving fabric rather than representing a wholly new identity.","Work was suspended by the 1873 financial crisis, resumed in 1874, and the first service in the completed building was held in 1875; soot-darkened tower fabric survives.","ANDREAS_V3;STJAMES_HISTORY;DRIEHAUS_BURLING;EOC_CHURCH_ARCH",high,false
CHI1875-003,Chicago Avenue Church construction,"Moody's Church; Chicago Avenue Church",1873,1876,year-only,1876,1915,year,replaced after congregation moved,demolished,"Chicago and LaSalle Avenues",,,,church,evangelical worship,"John H. Edelmann and Joseph S. Johnston",Chicago Avenue Church society,"masonry superstructure over a two-story basement",,,continuing_construction,"Illinois Street Church destroyed in 1871","Within the North Side fire limits; the permanent masonry project replaced a temporary tabernacle and roofed basement.","Included as a documented 1875 continuation, not a 1875 completion. The roofed basement served for roughly two years; institutional history places full completion and dedication in 1876, correcting an earlier annual-row chronology.","ANDREAS_V3;MOODY_HISTORY;EOC_CHURCH_ARCH",medium,true
CHI1875-004,First Baptist Church at Thirty-first Street,"First Baptist Church; later Olivet Baptist Church",1874,1875,exact,1875,,,,extant/altered,"South Park Avenue and Thirty-first Street","3101 S King Dr",41.8381,-87.6174,church,Baptist worship,Willcox and Miller,First Baptist Church of Chicago,"brick and stone masonry; Gothic Revival",,,new_construction,"First Baptist Church on Wabash Avenue destroyed in the fire of July 14, 1874","The July 1874 fire accelerated relocation southward; the replacement used substantial masonry construction.","Construction began by November 1874 and the main church was completed in 1875; the attached Sunday-school portion is reported as 1876. The building now houses Olivet Baptist Church.","ANDREAS_V3;PRES_CHI_OLIVET",high,false
CHI1875-005,All Saints Catholic parish first edifice,"All Saints Church first building; later parish school",1875,1875,exact,1875,,,,demolished/replaced,"Wallace Street and Twenty-fifth Place",,,,church/school,Catholic worship then parish school,,All Saints Catholic parish,"substantial parish edifice; material not stated",,,new_construction,,"Constructed after the 1874 citywide extension of fire limits; material should be confirmed from parish or permit records.","Father Edward J. Dunne first celebrated Mass in a nearby store and completed this first parish edifice in 1875; Andreas later described it as used as a school after a newer church was built.",ANDREAS_V3,high,true
CHI1875-006,St. Patrick's boys' school building,"St. Patrick's male school; St. Patrick's Commercial Academy phase",1875,1875,exact,1875,,,,demolished/unknown,"Adjacent to St. Patrick's Church near Adams and Desplaines Streets",,,,school,parochial boys' school,,St. Patrick's Catholic parish,brick masonry,,,new_construction,,"Brick construction conformed to the post-fire prohibition on new wood buildings within city limits.","Large brick school erected by Rev. P. J. Conway at a reported cost of $24,000; operated by the Brothers of the Christian Schools with about 600 pupils in Andreas's account.",ANDREAS_V3,high,true
CHI1875-007,Kehillath Anshe Maarabh Temple,"KAM Temple; Kehilath Anshe Mayriv synagogue",,1875,exact,1875,,,,demolished/unknown,"Indiana Avenue and Twenty-sixth Street",,,,synagogue,Jewish worship,,Kehillath Anshe Maarabh congregation,masonry temple,,,completion_phase,"KAM temple destroyed in the 1874 Chicago fire","The temple was a masonry replacement after the 1874 fire and the extension of the city fire limits.","Institutional history gives a February 5, 1875 dedication; the construction start remains unverified. This is not the 1890-91 KAM building later used as Pilgrim Baptist Church.",KAM_EVOLUTION,medium,true
CHI1875-008,Sinai Temple construction,"Chicago Sinai Congregation Temple",1875,1876,exact,1876,,,,demolished,"Indiana Avenue and Twenty-first Street",,,,synagogue,Reform Jewish worship,Burling and Adler,Chicago Sinai Congregation,"masonry; mixed Gothic and Oriental design",,,construction_start_or_major_phase,"Sinai synagogue at Plymouth Court and Van Buren destroyed in 1871","A substantial masonry temple replaced the congregation's fire-destroyed downtown synagogue as members moved south.","The structure was erected during 1875-76 and dedicated April 8-9, 1876. Included for its distinct 1875 construction phase, not counted as a 1875 completion.",FLPS_SINAI,medium,false
CHI1875-009,Centennial Baptist Church construction,Centennial Church,1875,1876,exact,1876,,,,demolished/unknown,"Southeast corner of Lincoln and Jackson Streets",,,,church,Baptist worship,,Centennial Baptist Church,brick Gothic church,,,construction_start_or_major_phase,,"Brick construction followed the 1874 extension of fire limits across Chicago.","The society formed in 1875; its $8,000 brick building was dedicated on the first Sunday of January 1876, placing its principal construction in 1875.",ANDREAS_V3,medium,false
CHI1875-010,James Ward Public School original section,"Ward J School",1874,1875,exact,1875,,,,extant/altered,"2703 S Shields Avenue","2703 S Shields Ave",41.8432,-87.6352,school,Chicago public elementary school,"John Edelmann design influence; Johnston and Edelmann associated",Chicago Board of Education,"brick masonry; Italianate",,,completion_phase,,"Post-fire public-school construction used durable masonry outside the central burned district.","The City gives a 1874-75 range and states the earliest section was built in 1875; later 1897 and 1924 additions are separate phases.",CITY_WARD,high,false
CHI1875-011,Cook County Hospital two medical pavilions,"Cook County Hospital pavilion pair",1875,1875,exact,1875,1913,circa,replaced by later hospital complex,demolished/replaced,"Between Wood and Lincoln Streets and Harrison and Polk Streets","Cook County Health campus near 1835 W Harrison St",41.8730,-87.6718,hospital_complex,county hospital medical wards,,Cook County,"red brick with stone trim; pavilion plan",4,,new_construction,,"Institutional masonry construction reflected post-fire concern for separation and fire resistance; outside the 1871 burned district.","General design and two medical-pavilion plans adopted May 24, 1875; both pavilions erected that year. This grouped record represents two named functional structures and should later be decomposed if pavilion identifiers emerge.",ANDREAS_V3,high,true
CHI1875-012,McCormick Double House,"Robert Hall McCormick House; Leander James McCormick House",1875,1875,exact,1875,,,,extant/altered,"Rush Street at Erie Street","660 N Rush St",41.89428,-87.62572,double_house,two related family residences,Frederick and Edward Baumann,"Leander James McCormick and Robert Hall McCormick","Joliet limestone-clad masonry; Italianate",3,,new_construction,,"A masonry mansion within the rebuilt Near North Side conformed to post-fire fire-limit requirements.","Built as a double house for industrialist Leander J. McCormick and his son Robert H. McCormick; the most intact McCormick-family mansion remaining in the former 'McCormickville' area.",CITY_INDIVIDUAL_LANDMARKS,high,false
CHI1875-013,Cyrus Hall McCormick mansion,"Cyrus McCormick Mansion",,1875,contemporary_report,1875,1954,year,demolished for redevelopment,demolished,"135 Rush Street","675 N Rush St",41.8949,-87.6257,mansion,private residence,,Cyrus Hall McCormick,"Lake Superior sandstone; German Renaissance",3,,completion_or_occupancy_phase,"McCormick residence destroyed in the Great Chicago Fire","Substantial stone construction in the rebuilt Near North Side met post-fire fire-limit expectations.","A contemporary February 21, 1875 account describes the completed three-story mansion. Start year and later demolition date require permit/property verification.",CHICAGOLOGY_CYRUS,medium,true
CHI1875-014,Emmel Building,"Peter Emmel store and flat",1875,1875,exact,1875,,,,extant/altered,"Wells Street","1357 N Wells St",41.9067,-87.6345,store_and_flat,"Peter Emmel painting/decorating business and family residence",,Peter Emmel,"masonry; carved stone facade; Italianate",3,,new_construction,,"Built in the Near North Side after post-fire restrictions; masonry store-and-flat form replaced fire-lost property.","Purpose-built for German immigrant painter and decorator Peter Emmel, with commerce below and family rooms above.",NPS_EMMEL,high,false
CHI1875-015,William Waller House,"Palette and Chisel Academy building",1875,1876,year_range,1876,,,,extant/altered,"Dearborn Street","1012 N Dearborn St",41.90083,-87.63028,house,private residence,,William Waller,"stone masonry; Italianate/Tuscan Villa",,,construction_start_or_major_phase,,"Stone residential construction followed Near North Side rebuilding and fire-limit requirements.","National Register documentation gives 1875-76. Included for the 1875 start/phase and not counted as a 1875 completion.",NPS_WALLER,high,false
CHI1875-016,Haskell Building,"Haskell loft building; Building A",1875,1875,exact,1875,,,,extant/altered,"18-20 S Wabash Avenue","18-20 S Wabash Ave",41.88142,-87.62665,mercantile_loft,commercial loft,Wheelock and Thomas,Frederick Haskell,"traditional load-bearing masonry",4,,new_construction,,"A post-fire mercantile loft within the central fire limits used load-bearing masonry; lower floors were remodeled by Louis Sullivan in 1896.","Official City Council proceedings separate the Haskell and Barker buildings from the later 1877 Atwater Building and give both an 1875 completion.","CITY_HBA;CITY_HBA_COUNCIL",high,false
CHI1875-017,Barker Building,"Barker loft building; Building B",1875,1875,exact,1875,,,,extant/altered,"22-24 S Wabash Avenue","22-24 S Wabash Ave",41.88134,-87.62665,mercantile_loft,commercial loft,Wheelock and Thomas,John Barker,"traditional load-bearing masonry",4,,new_construction,,"A post-fire mercantile loft within the central fire limits used load-bearing masonry.","Official City Council proceedings separate the Haskell and Barker buildings from the later 1877 Atwater Building and give both an 1875 completion.","CITY_HBA;CITY_HBA_COUNCIL",high,false
