assertion_id,building_id,field_name,asserted_value,source_keys,confidence,needs_review,research_note
CHI-B1830-001-A01,CHI-B1830-001,existence_and_identity,First federal lighthouse tower attempt,ANDREAS_CIVIC;EOC_LIGHTHOUSE,high,false,Verified: Congress appropriated funds in March 1831; a planned 50-foot tower collapsed before completion. This is a distinct construction episode from the operating 1832 lighthouse.
CHI-B1830-001-A02,CHI-B1830-001,historical_address,North end of Fort Dearborn reservation near river mouth,ANDREAS_CIVIC;EOC_LIGHTHOUSE,high,false,Verified: Congress appropriated funds in March 1831; a planned 50-foot tower collapsed before completion. This is a distinct construction episode from the operating 1832 lighthouse.
CHI-B1830-001-A03,CHI-B1830-001,architect_or_builder,Samuel Jackson,ANDREAS_CIVIC;EOC_LIGHTHOUSE,high,false,Verified: Congress appropriated funds in March 1831; a planned 50-foot tower collapsed before completion. This is a distinct construction episode from the operating 1832 lighthouse.
CHI-B1830-001-A04,CHI-B1830-001,year_demolished,1831,ANDREAS_CIVIC;EOC_LIGHTHOUSE,high,false,Verified: Congress appropriated funds in March 1831; a planned 50-foot tower collapsed before completion. This is a distinct construction episode from the operating 1832 lighthouse.
CHI-B1830-001-A05,CHI-B1830-001,fire_fate_1871,not exposed,ANDREAS_CIVIC;EOC_LIGHTHOUSE,high,false,Verified: Congress appropriated funds in March 1831; a planned 50-foot tower collapsed before completion. This is a distinct construction episode from the operating 1832 lighthouse.
CHI-B1830-002-A01,CHI-B1830-002,existence_and_identity,Chicago Lighthouse,ANDREAS_CIVIC;EOC_LIGHTHOUSE,high,false,Verified: the replacement tower was 40 feet high and completed in 1832; the Encyclopedia independently identifies Chicago's first operating lighthouse in 1832. Andreas records an earlier failed tower under the same appropriation.
CHI-B1830-002-A02,CHI-B1830-002,year_completed,1832,ANDREAS_CIVIC;EOC_LIGHTHOUSE,high,false,Verified: the replacement tower was 40 feet high and completed in 1832; the Encyclopedia independently identifies Chicago's first operating lighthouse in 1832. Andreas records an earlier failed tower under the same appropriation.
CHI-B1830-002-A03,CHI-B1830-002,historical_address,North end of Fort Dearborn reservation on south bank near river mouth,ANDREAS_CIVIC;EOC_LIGHTHOUSE,high,false,Verified: the replacement tower was 40 feet high and completed in 1832; the Encyclopedia independently identifies Chicago's first operating lighthouse in 1832. Andreas records an earlier failed tower under the same appropriation.
CHI-B1830-002-A04,CHI-B1830-002,architect_or_builder,Samuel Jackson,ANDREAS_CIVIC;EOC_LIGHTHOUSE,high,false,Verified: the replacement tower was 40 feet high and completed in 1832; the Encyclopedia independently identifies Chicago's first operating lighthouse in 1832. Andreas records an earlier failed tower under the same appropriation.
CHI-B1830-002-A05,CHI-B1830-002,year_demolished,1852,ANDREAS_CIVIC;EOC_LIGHTHOUSE,high,false,Verified: the replacement tower was 40 feet high and completed in 1832; the Encyclopedia independently identifies Chicago's first operating lighthouse in 1832. Andreas records an earlier failed tower under the same appropriation.
CHI-B1830-002-A06,CHI-B1830-002,fire_fate_1871,not exposed,ANDREAS_CIVIC;EOC_LIGHTHOUSE,high,false,Verified: the replacement tower was 40 feet high and completed in 1832; the Encyclopedia independently identifies Chicago's first operating lighthouse in 1832. Andreas records an earlier failed tower under the same appropriation.
CHI-B1830-003-A01,CHI-B1830-003,existence_and_identity,P. F. W. Peck log store,ANDREAS_EARLY,high,true,Verified: Andreas explicitly identifies a small log store built by Peck in 1831. Exact lot and later fate are not given.
CHI-B1830-003-A02,CHI-B1830-003,year_completed,1831,ANDREAS_EARLY,high,true,Verified: Andreas explicitly identifies a small log store built by Peck in 1831. Exact lot and later fate are not given.
CHI-B1830-003-A03,CHI-B1830-003,historical_address,Near Fort Dearborn,ANDREAS_EARLY,high,true,Verified: Andreas explicitly identifies a small log store built by Peck in 1831. Exact lot and later fate are not given.
CHI-B1830-003-A04,CHI-B1830-003,fire_fate_1871,unknown,ANDREAS_EARLY,high,true,Verified: Andreas explicitly identifies a small log store built by Peck in 1831. Exact lot and later fate are not given.
CHI-B1830-004-A01,CHI-B1830-004,existence_and_identity,Madore Beaubien log store and tailor shop,ANDREAS_EARLY,high,false,Verified: first building on Lot 1; one room was a store and the other Anson H. Taylor's tailor shop.
CHI-B1830-004-A02,CHI-B1830-004,year_completed,1831,ANDREAS_EARLY,high,false,Verified: first building on Lot 1; one room was a store and the other Anson H. Taylor's tailor shop.
CHI-B1830-004-A03,CHI-B1830-004,historical_address,Lot 1 at southwest corner of South Water and Dearborn Streets,ANDREAS_EARLY,high,false,Verified: first building on Lot 1; one room was a store and the other Anson H. Taylor's tailor shop.
CHI-B1830-004-A04,CHI-B1830-004,fire_fate_1871,unknown,ANDREAS_EARLY,high,false,Verified: first building on Lot 1; one room was a store and the other Anson H. Taylor's tailor shop.
CHI-B1830-005-A01,CHI-B1830-005,existence_and_identity,Sauganash Hotel,ANDREAS_EARLY;ANDREAS_HOTELS,high,false,Verified: the frame hotel was erected in 1831 around/adjacent to an earlier cabin and burned in 1851. Andreas reports a contemporary claim that it was Chicago's first frame building but also notes an earlier frame house for Billy Caldwell; the priority claim is therefore not adopted as fact.
CHI-B1830-005-A02,CHI-B1830-005,year_completed,1831,ANDREAS_EARLY;ANDREAS_HOTELS,high,false,Verified: the frame hotel was erected in 1831 around/adjacent to an earlier cabin and burned in 1851. Andreas reports a contemporary claim that it was Chicago's first frame building but also notes an earlier frame house for Billy Caldwell; the priority claim is therefore not adopted as fact.
CHI-B1830-005-A03,CHI-B1830-005,historical_address,Southeast corner of Lake and Market Streets,ANDREAS_EARLY;ANDREAS_HOTELS,high,false,Verified: the frame hotel was erected in 1831 around/adjacent to an earlier cabin and burned in 1851. Andreas reports a contemporary claim that it was Chicago's first frame building but also notes an earlier frame house for Billy Caldwell; the priority claim is therefore not adopted as fact.
CHI-B1830-005-A04,CHI-B1830-005,year_demolished,1851,ANDREAS_EARLY;ANDREAS_HOTELS,high,false,Verified: the frame hotel was erected in 1831 around/adjacent to an earlier cabin and burned in 1851. Andreas reports a contemporary claim that it was Chicago's first frame building but also notes an earlier frame house for Billy Caldwell; the priority claim is therefore not adopted as fact.
CHI-B1830-005-A05,CHI-B1830-005,fire_fate_1871,not exposed,ANDREAS_EARLY;ANDREAS_HOTELS,high,false,Verified: the frame hotel was erected in 1831 around/adjacent to an earlier cabin and burned in 1851. Andreas reports a contemporary claim that it was Chicago's first frame building but also notes an earlier frame house for Billy Caldwell; the priority claim is therefore not adopted as fact.
CHI-B1830-006-A01,CHI-B1830-006,existence_and_identity,Mansion House,ANDREAS_EARLY;ANDREAS_HOTELS,high,true,Verified: built in 1831; a frame front was added in 1833. The greater portion moved in 1850 and was known as the Dearborn House. Final fate is not established in the cited passage.
CHI-B1830-006-A02,CHI-B1830-006,year_completed,1831,ANDREAS_EARLY;ANDREAS_HOTELS,high,true,Verified: built in 1831; a frame front was added in 1833. The greater portion moved in 1850 and was known as the Dearborn House. Final fate is not established in the cited passage.
CHI-B1830-006-A03,CHI-B1830-006,historical_address,84-86 Lake Street near Dearborn Street,ANDREAS_EARLY;ANDREAS_HOTELS,high,true,Verified: built in 1831; a frame front was added in 1833. The greater portion moved in 1850 and was known as the Dearborn House. Final fate is not established in the cited passage.
CHI-B1830-006-A04,CHI-B1830-006,fire_fate_1871,unknown,ANDREAS_EARLY;ANDREAS_HOTELS,high,true,Verified: built in 1831; a frame front was added in 1833. The greater portion moved in 1850 and was known as the Dearborn House. Final fate is not established in the cited passage.
CHI-B1830-007-A01,CHI-B1830-007,existence_and_identity,South Branch log bridge,ANDREAS_EARLY;ANDREAS_CIVIC,medium,true,"Verified: built in 1832 for $486.20, including $200 contributed by Potawatomi residents; described as the only team bridge before 1834. A chronological-index statement elsewhere suggests 1830, but the detailed narrative's 1832 date is retained and the conflict flagged."
CHI-B1830-007-A02,CHI-B1830-007,year_completed,1832,ANDREAS_EARLY;ANDREAS_CIVIC,medium,true,"Verified: built in 1832 for $486.20, including $200 contributed by Potawatomi residents; described as the only team bridge before 1834. A chronological-index statement elsewhere suggests 1830, but the detailed narrative's 1832 date is retained and the conflict flagged."
CHI-B1830-007-A03,CHI-B1830-007,historical_address,"Across South Branch between Randolph and Lake Streets, nearer Randolph",ANDREAS_EARLY;ANDREAS_CIVIC,medium,true,"Verified: built in 1832 for $486.20, including $200 contributed by Potawatomi residents; described as the only team bridge before 1834. A chronological-index statement elsewhere suggests 1830, but the detailed narrative's 1832 date is retained and the conflict flagged."
CHI-B1830-007-A04,CHI-B1830-007,architect_or_builder,Anson Taylor; Charles Taylor,ANDREAS_EARLY;ANDREAS_CIVIC,medium,true,"Verified: built in 1832 for $486.20, including $200 contributed by Potawatomi residents; described as the only team bridge before 1834. A chronological-index statement elsewhere suggests 1830, but the detailed narrative's 1832 date is retained and the conflict flagged."
CHI-B1830-007-A05,CHI-B1830-007,fire_fate_1871,not exposed,ANDREAS_EARLY;ANDREAS_CIVIC,medium,true,"Verified: built in 1832 for $486.20, including $200 contributed by Potawatomi residents; described as the only team bridge before 1834. A chronological-index statement elsewhere suggests 1830, but the detailed narrative's 1832 date is retained and the conflict flagged."
CHI-B1830-008-A01,CHI-B1830-008,existence_and_identity,John Watkins public school building,ANDREAS_CIVIC,medium,true,Verified: Andreas says Hamilton and Owen erected the building in 1833 and John Watkins used it as a public school. The OCR/name reading 'Owen' should be checked against the scan because other Chicago school histories associate William B. Ogden with early school trustees.
CHI-B1830-008-A02,CHI-B1830-008,year_completed,1833,ANDREAS_CIVIC,medium,true,Verified: Andreas says Hamilton and Owen erected the building in 1833 and John Watkins used it as a public school. The OCR/name reading 'Owen' should be checked against the scan because other Chicago school histories associate William B. Ogden with early school trustees.
CHI-B1830-008-A03,CHI-B1830-008,historical_address,Riverbank just east of Clark Street,ANDREAS_CIVIC,medium,true,Verified: Andreas says Hamilton and Owen erected the building in 1833 and John Watkins used it as a public school. The OCR/name reading 'Owen' should be checked against the scan because other Chicago school histories associate William B. Ogden with early school trustees.
CHI-B1830-008-A04,CHI-B1830-008,fire_fate_1871,unknown,ANDREAS_CIVIC,medium,true,Verified: Andreas says Hamilton and Owen erected the building in 1833 and John Watkins used it as a public school. The OCR/name reading 'Owen' should be checked against the scan because other Chicago school histories associate William B. Ogden with early school trustees.
CHI-B1830-009-A01,CHI-B1830-009,existence_and_identity,Temple Building,ANDREAS_EARLY;ANDREAS_RELIGION,high,true,Verified: erected in 1833; lower hall hosted several congregations and the upper story was a schoolroom. Andreas calls it the earliest Chicago structure specially dedicated to religious and educational use.
CHI-B1830-009-A02,CHI-B1830-009,year_completed,1833,ANDREAS_EARLY;ANDREAS_RELIGION,high,true,Verified: erected in 1833; lower hall hosted several congregations and the upper story was a schoolroom. Andreas calls it the earliest Chicago structure specially dedicated to religious and educational use.
CHI-B1830-009-A03,CHI-B1830-009,historical_address,Southeast corner of Franklin and South Water Streets,ANDREAS_EARLY;ANDREAS_RELIGION,high,true,Verified: erected in 1833; lower hall hosted several congregations and the upper story was a schoolroom. Andreas calls it the earliest Chicago structure specially dedicated to religious and educational use.
CHI-B1830-009-A04,CHI-B1830-009,fire_fate_1871,unknown,ANDREAS_EARLY;ANDREAS_RELIGION,high,true,Verified: erected in 1833; lower hall hosted several congregations and the upper story was a schoolroom. Andreas calls it the earliest Chicago structure specially dedicated to religious and educational use.
CHI-B1830-010-A01,CHI-B1830-010,existence_and_identity,First St. Mary's Catholic Church,ANDREAS_RELIGION,high,true,Verified: frame raised in August and sufficiently complete for October 1833 dedication; cost about $400. It was later moved and enlarged more than once. Exact final disposition of the original fabric is not established.
CHI-B1830-010-A02,CHI-B1830-010,year_completed,1833,ANDREAS_RELIGION,high,true,Verified: frame raised in August and sufficiently complete for October 1833 dedication; cost about $400. It was later moved and enlarged more than once. Exact final disposition of the original fabric is not established.
CHI-B1830-010-A03,CHI-B1830-010,historical_address,Near southwest corner of Lake and State Streets,ANDREAS_RELIGION,high,true,Verified: frame raised in August and sufficiently complete for October 1833 dedication; cost about $400. It was later moved and enlarged more than once. Exact final disposition of the original fabric is not established.
CHI-B1830-010-A04,CHI-B1830-010,architect_or_builder,Augustine Deodat Taylor,ANDREAS_RELIGION,high,true,Verified: frame raised in August and sufficiently complete for October 1833 dedication; cost about $400. It was later moved and enlarged more than once. Exact final disposition of the original fabric is not established.
CHI-B1830-010-A05,CHI-B1830-010,fire_fate_1871,unknown,ANDREAS_RELIGION,high,true,Verified: frame raised in August and sufficiently complete for October 1833 dedication; cost about $400. It was later moved and enlarged more than once. Exact final disposition of the original fabric is not established.
