building_event_id,building_id,event_type,event_date,date_precision,cause,description
CHI-B1830-001-E01,CHI-B1830-001,demolition_or_loss,1831,exact,Collapsed during construction on October 30,destroyed
CHI-B1830-001-E02,CHI-B1830-001,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-002-E01,CHI-B1830-002,completion,1832,exact,,Construction/completion evidence
CHI-B1830-002-E02,CHI-B1830-002,demolition_or_loss,1852,exact,Replaced by a new lighthouse,demolished/replaced
CHI-B1830-002-E03,CHI-B1830-002,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-003-E01,CHI-B1830-003,completion,1831,exact,,Construction/completion evidence
CHI-B1830-003-E02,CHI-B1830-003,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-004-E01,CHI-B1830-004,completion,1831,exact,,Construction/completion evidence
CHI-B1830-004-E02,CHI-B1830-004,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-005-E01,CHI-B1830-005,completion,1831,exact,,Construction/completion evidence
CHI-B1830-005-E02,CHI-B1830-005,demolition_or_loss,1851,exact,Fire on March 4,destroyed
CHI-B1830-005-E03,CHI-B1830-005,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-006-E01,CHI-B1830-006,completion,1831,exact,,Construction/completion evidence
CHI-B1830-006-E02,CHI-B1830-006,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-007-E01,CHI-B1830-007,completion,1832,exact,,Construction/completion evidence
CHI-B1830-007-E02,CHI-B1830-007,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-008-E01,CHI-B1830-008,completion,1833,exact,,Construction/completion evidence
CHI-B1830-008-E02,CHI-B1830-008,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-009-E01,CHI-B1830-009,completion,1833,exact,,Construction/completion evidence
CHI-B1830-009-E02,CHI-B1830-009,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-010-E01,CHI-B1830-010,completion,1833,seasonal_exact,,Construction/completion evidence
CHI-B1830-010-E02,CHI-B1830-010,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-011-E01,CHI-B1830-011,completion,1833,seasonal_approximate,,Construction/completion evidence
CHI-B1830-011-E02,CHI-B1830-011,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-012-E01,CHI-B1830-012,completion,1833,exact,,Construction/completion evidence
CHI-B1830-012-E02,CHI-B1830-012,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,survived
CHI-B1830-013-E01,CHI-B1830-013,completion,1833,exact,,Construction/completion evidence
CHI-B1830-013-E02,CHI-B1830-013,demolition_or_loss,1839,exact,Fire on October 27,destroyed
CHI-B1830-013-E03,CHI-B1830-013,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-014-E01,CHI-B1830-014,completion,1833,seasonal_exact,,Construction/completion evidence
CHI-B1830-014-E02,CHI-B1830-014,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-015-E01,CHI-B1830-015,completion,1833,seasonal_exact,,Construction/completion evidence
CHI-B1830-015-E02,CHI-B1830-015,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-016-E01,CHI-B1830-016,completion,1833,active_by,,Construction/completion evidence
CHI-B1830-016-E02,CHI-B1830-016,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-017-E01,CHI-B1830-017,completion,1834,range,,Construction/completion evidence
CHI-B1830-017-E02,CHI-B1830-017,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-018-E01,CHI-B1830-018,completion,1834,exact,,Construction/completion evidence
CHI-B1830-018-E02,CHI-B1830-018,demolition_or_loss,1839,exact,Removed/demolished,demolished
CHI-B1830-018-E03,CHI-B1830-018,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-019-E01,CHI-B1830-019,completion,1834,exact,,Construction/completion evidence
CHI-B1830-019-E02,CHI-B1830-019,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-020-E01,CHI-B1830-020,completion,1834,exact,,Construction/completion evidence
CHI-B1830-020-E02,CHI-B1830-020,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-021-E01,CHI-B1830-021,completion,1834,seasonal_exact,,Construction/completion evidence
CHI-B1830-021-E02,CHI-B1830-021,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-022-E01,CHI-B1830-022,completion,1834,exact,,Construction/completion evidence
CHI-B1830-022-E02,CHI-B1830-022,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-023-E01,CHI-B1830-023,completion,1835,exact,,Construction/completion evidence
CHI-B1830-023-E02,CHI-B1830-023,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-024-E01,CHI-B1830-024,completion,1835,seasonal_exact,,Construction/completion evidence
CHI-B1830-024-E02,CHI-B1830-024,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-025-E01,CHI-B1830-025,completion,1836,range,,Construction/completion evidence
CHI-B1830-025-E02,CHI-B1830-025,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-026-E01,CHI-B1830-026,completion,1835,seasonal_exact,,Construction/completion evidence
CHI-B1830-026-E02,CHI-B1830-026,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-027-E01,CHI-B1830-027,completion,1835,circa,,Construction/completion evidence
CHI-B1830-027-E02,CHI-B1830-027,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,survived
CHI-B1830-028-E01,CHI-B1830-028,completion,1836,seasonal_exact,,Construction/completion evidence
CHI-B1830-028-E02,CHI-B1830-028,demolition_or_loss,1845,circa,Sold and removed/reused after becoming dilapidated,demolished/removed
CHI-B1830-028-E03,CHI-B1830-028,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-029-E01,CHI-B1830-029,completion,1836,seasonal_exact,,Construction/completion evidence
CHI-B1830-029-E02,CHI-B1830-029,demolition_or_loss,1871,exact,Great Chicago Fire,destroyed
CHI-B1830-029-E03,CHI-B1830-029,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,destroyed
CHI-B1830-030-E01,CHI-B1830-030,completion,1836,active_by,,Construction/completion evidence
CHI-B1830-030-E02,CHI-B1830-030,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
