building_name_id,building_id,name,name_type,sequence
CHI-B1830-001-N00,CHI-B1830-001,First federal lighthouse tower attempt,canonical,0
CHI-B1830-001-N01,CHI-B1830-001,1831 Chicago lighthouse tower,alternate,1
CHI-B1830-002-N00,CHI-B1830-002,Chicago Lighthouse,canonical,0
CHI-B1830-002-N01,CHI-B1830-002,Fort Dearborn Lighthouse,alternate,1
CHI-B1830-002-N02,CHI-B1830-002,first completed Chicago lighthouse,alternate,2
CHI-B1830-003-N00,CHI-B1830-003,P. F. W. Peck log store,canonical,0
CHI-B1830-003-N01,CHI-B1830-003,Peck's store,alternate,1
CHI-B1830-004-N00,CHI-B1830-004,Madore Beaubien log store and tailor shop,canonical,0
CHI-B1830-004-N01,CHI-B1830-004,Beaubien two-room log house,alternate,1
CHI-B1830-005-N00,CHI-B1830-005,Sauganash Hotel,canonical,0
CHI-B1830-005-N01,CHI-B1830-005,Sauganash Tavern,alternate,1
CHI-B1830-005-N02,CHI-B1830-005,Eagle Exchange Hotel,alternate,2
CHI-B1830-006-N00,CHI-B1830-006,Mansion House,canonical,0
CHI-B1830-006-N01,CHI-B1830-006,Dexter Graves tavern,alternate,1
CHI-B1830-006-N02,CHI-B1830-006,later Dearborn House,alternate,2
CHI-B1830-007-N00,CHI-B1830-007,South Branch log bridge,canonical,0
CHI-B1830-007-N01,CHI-B1830-007,Taylor bridge,alternate,1
CHI-B1830-008-N00,CHI-B1830-008,John Watkins public school building,canonical,0
CHI-B1830-008-N01,CHI-B1830-008,Hamilton and Owen schoolhouse,alternate,1
CHI-B1830-009-N00,CHI-B1830-009,Temple Building,canonical,0
CHI-B1830-009-N01,CHI-B1830-009,Dr. Temple's building,alternate,1
CHI-B1830-010-N00,CHI-B1830-010,First St. Mary's Catholic Church,canonical,0
CHI-B1830-010-N01,CHI-B1830-010,St. Mary's Church,alternate,1
CHI-B1830-011-N00,CHI-B1830-011,First Presbyterian Church,canonical,0
CHI-B1830-011-N01,CHI-B1830-011,First Presbyterian meetinghouse,alternate,1
CHI-B1830-012-N00,CHI-B1830-012,Green Tree Tavern,canonical,0
CHI-B1830-012-N01,CHI-B1830-012,Green Tree Hotel,alternate,1
CHI-B1830-013-N00,CHI-B1830-013,First Tremont House,canonical,0
CHI-B1830-013-N01,CHI-B1830-013,Tremont Hotel I,alternate,1
CHI-B1830-014-N00,CHI-B1830-014,First Cook County jail,canonical,0
CHI-B1830-014-N01,CHI-B1830-014,Public Square log jail,alternate,1
CHI-B1830-015-N00,CHI-B1830-015,John Bates house,canonical,0
CHI-B1830-015-N01,CHI-B1830-015,Laframboise house,alternate,1
CHI-B1830-016-N00,CHI-B1830-016,Miller and Hall tannery shed,canonical,0
CHI-B1830-016-N01,CHI-B1830-016,John Miller tannery,alternate,1
CHI-B1830-017-N00,CHI-B1830-017,First Chicago harbor south pier section,canonical,0
CHI-B1830-017-N01,CHI-B1830-017,Federal harbor pier,alternate,1
CHI-B1830-018-N00,CHI-B1830-018,Dearborn Street drawbridge,canonical,0
CHI-B1830-018-N01,CHI-B1830-018,First Dearborn drawbridge,alternate,1
CHI-B1830-019-N00,CHI-B1830-019,Exchange Coffee House,canonical,0
CHI-B1830-019-N01,CHI-B1830-019,Beaubien's Exchange,alternate,1
CHI-B1830-019-N02,CHI-B1830-019,Murphy's tavern,alternate,2
CHI-B1830-020-N00,CHI-B1830-020,First Methodist Episcopal Church,canonical,0
