building_source_id,building_id,source_key,relationship
CHI-B1830-001-S01,CHI-B1830-001,ANDREAS_CIVIC,supports_record
CHI-B1830-001-S02,CHI-B1830-001,EOC_LIGHTHOUSE,supports_record
CHI-B1830-002-S01,CHI-B1830-002,ANDREAS_CIVIC,supports_record
CHI-B1830-002-S02,CHI-B1830-002,EOC_LIGHTHOUSE,supports_record
CHI-B1830-003-S01,CHI-B1830-003,ANDREAS_EARLY,supports_record
CHI-B1830-004-S01,CHI-B1830-004,ANDREAS_EARLY,supports_record
CHI-B1830-005-S01,CHI-B1830-005,ANDREAS_EARLY,supports_record
CHI-B1830-005-S02,CHI-B1830-005,ANDREAS_HOTELS,supports_record
CHI-B1830-006-S01,CHI-B1830-006,ANDREAS_EARLY,supports_record
CHI-B1830-006-S02,CHI-B1830-006,ANDREAS_HOTELS,supports_record
CHI-B1830-007-S01,CHI-B1830-007,ANDREAS_EARLY,supports_record
CHI-B1830-007-S02,CHI-B1830-007,ANDREAS_CIVIC,supports_record
CHI-B1830-008-S01,CHI-B1830-008,ANDREAS_CIVIC,supports_record
CHI-B1830-009-S01,CHI-B1830-009,ANDREAS_EARLY,supports_record
CHI-B1830-009-S02,CHI-B1830-009,ANDREAS_RELIGION,supports_record
CHI-B1830-010-S01,CHI-B1830-010,ANDREAS_RELIGION,supports_record
CHI-B1830-011-S01,CHI-B1830-011,ANDREAS_RELIGION,supports_record
CHI-B1830-012-S01,CHI-B1830-012,ANDREAS_EARLY,supports_record
CHI-B1830-012-S02,CHI-B1830-012,ANDREAS_HOTELS,supports_record
CHI-B1830-013-S01,CHI-B1830-013,ANDREAS_EARLY,supports_record
CHI-B1830-013-S02,CHI-B1830-013,ANDREAS_CIVIC,supports_record
CHI-B1830-013-S03,CHI-B1830-013,ANDREAS_HOTELS,supports_record
CHI-B1830-014-S01,CHI-B1830-014,ANDREAS_CIVIC,supports_record
CHI-B1830-015-S01,CHI-B1830-015,ANDREAS_EARLY,supports_record
CHI-B1830-016-S01,CHI-B1830-016,ANDREAS_EARLY,supports_record
CHI-B1830-017-S01,CHI-B1830-017,ANDREAS_EARLY,supports_record
CHI-B1830-017-S02,CHI-B1830-017,EOC_INFRASTRUCTURE,supports_record
CHI-B1830-018-S01,CHI-B1830-018,ANDREAS_EARLY,supports_record
CHI-B1830-018-S02,CHI-B1830-018,ANDREAS_CIVIC,supports_record
