media_id,local_path,sha256,byte_size,width_px,height_px
MEDIA-BLDG-WOLFPOINT-NYPL-1867,media/images/buildings/wolf_point_1833_nypl.jpg,4450315d87c15c5b986fc043fce298b9af1cbe63bc16eccbb102f66894a00fda,2169265,3840,3394
MEDIA-BLDG-WOLFPOINT-ANDREAS-1884,media/images/buildings/wolf_point_1830_andreas.jpg,f123998eb0cf72ca8c503b7a05b07f4a750c6dab932efd7bf674dc560eb25396,254930,1024,705
MEDIA-BLDG-WOLFPOINT-NEWBERRY-POSTCARD,media/images/buildings/chicago_1833_newberry.jpg,eb860c4e8caa029d9591cc3a06546a814a67e5603a05d56af7b3b88df0fe525c,75884,827,530
MEDIA-BLDG-SAUGANASH-ANDREAS-1884,media/images/buildings/sauganash_hotel_andreas.jpg,3884c16f72702fd3b1696663dd82b444ac26028b97472e03bd00a2fa75026afb,542712,2017,1296
MEDIA-BLDG-GREEN-TREE-1859,media/images/buildings/green_tree_tavern_1859.jpg,7a45f8b2981ca621cfadfe2a02c9ee9c53743f88cc1136b521965b973d3ac443,560026,1744,1128
MEDIA-BLDG-KINZIE-HOUSE-1857,media/images/buildings/kinzie_house_1857.png,da2bb6630e8205444c2624b8fb9ae982d3a9f220da3539992eae3e4266436b1c,603910,687,434
MEDIA-BLDG-KURZ-ALLISON-EARLY-DAYS,media/images/buildings/chicago_early_days_kurz_allison.jpg,e7dbf2ee058274a14056bcdde88c559261f2c2e23521eb26c996c89a5fc5ee44,1063024,2048,1624
MEDIA-BLDG-CHICAGO-FROM-LAKE-1820S,media/images/buildings/chicago_from_lake_1820s_lithograph.jpg,b5ef7338536ec52a130459d8322df9ed6710d6abd517f813054c52192332553e,149253,848,612
MEDIA-MAP-CHICAGO-1812-ANDREAS,media/images/buildings/chicago_1812_map_andreas.png,a6ad38ada1c9cce4422069d119b1f984f006e1114ad2c207cbbe9238e3a74f86,388215,650,368
MEDIA-BLDG-SITE-1779-ANDREAS,media/images/buildings/chicago_site_1779_andreas.jpg,3a0305ba32d202253f6793c74345afb52e00d0a6a50a37b1237da1007b8ef631,147331,800,512
