source_key,title,author,publisher,publication_date,url,source_type,reliability_tier,locator,accessed_at,rights_notes,notes
AND1884V1,"History of Chicago: From the Earliest Period to the Present Time, Volume I",A. T. Andreas,A. T. Andreas,1884,https://archive.org/details/historyofchicago01andr,book,B,"printed pp. 179-214, 248, 290-351, 343-351, 464-490, 505-506, 562-581, 596-598, 633-636",2026-08-03,Public domain,"Near-contemporary synthesis drawing on city records, newspapers, directories, and participant recollections; page-specific locators appear in building notes. OCR was checked against page context."
AND1886V2,"History of Chicago, Volume II: From 1857 Until the Fire of 1871",A. T. Andreas,A. T. Andreas,1886,https://archive.org/details/historyofchicago02andr,contemporary-history,1,"printed pp. 57-72, 114, 403, 418-445, 507-509, 531-532, 658-681, 672, 719 and related fire narrative",2026-08-03,Public domain; Internet Archive scan,Principal row-level source; OCR checked against page images where the heading was degraded.
ANDREAS2_ARCH,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,printed pp. 562-565,2026-08-03,Public domain; Internet Archive scan,Retrospective architectural inventory of prominent pre-fire buildings and 1869 Tribune Building.
ANDREAS2_CATHOLIC,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,printed pp. 401-408,2026-08-03,Public domain; Internet Archive scan,"Catholic church, school, clergy-residence, and fire-fate chronologies."
ANDREAS2_CIVILWAR,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,printed pp. 310-313 and Camp Douglas chapter,2026-08-03,Public domain; Internet Archive scan,"Detailed Soldiers' Rest and Soldiers' Home construction, dimensions, costs, and Camp Douglas context."
ANDREAS2_COMMERCE,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,printed pp. 352-369,2026-08-03,Public domain; Internet Archive scan,"Chamber of Commerce construction, materials, dimensions, opening, and destruction."
ANDREAS2_DRAMA,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,printed pp. 601-610,2026-08-03,Public domain; Internet Archive scan,"Crosby's Opera House, Wood's Museum, Bryan Hall, dates, participants, dimensions, and destruction."
ANDREAS2_EDU,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,printed pp. 109-114,2026-08-03,Public domain; Internet Archive scan,"Structure-by-structure public-school chronology with locations, materials, costs, opening dates, and fire losses."
ANDREAS2_GRAIN,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,"grain-trade chapter, elevator histories circa printed pp. 371-375",2026-08-03,Public domain; Internet Archive scan,"Named grain elevators, capacities, construction years, ownership succession, and 1871 losses."
ANDREAS2_HOSPITALS,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,printed pp. 394 and 537-538,2026-08-03,Public domain; Internet Archive scan,"Marine, Mercy, and Jewish hospital construction and fire-fate details."
ANDREAS2_HOTELS,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,printed hotel-history chapter pp. 505-514,2026-08-03,Public domain; Internet Archive scan,"Barnes House and other hotel histories, operators, locations, and later survival."
ANDREAS2_INFRA,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,printed pp. 66-70,2026-08-03,Public domain; Internet Archive scan,"Official-report-based account of lake tunnel, intake crib, Chicago Avenue pumping works, machine shop, Water Tower, and 1871 damage."
ANDREAS2_PROTESTANT,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,printed pp. 420-445,2026-08-03,Public domain; Internet Archive scan,"Methodist, Presbyterian, Congregational, Baptist, Unitarian, and Universalist building histories."
ANDREAS2_SOCIAL,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized historical monograph,1,printed pp. 511-512,2026-08-03,Public domain; Internet Archive scan,YMCA Camp Douglas chapel and first/second Farwell Hall chronology.
ANDREAS_ARCH,"History of Chicago: From the Earliest Period to the Present Time, Volume I",A. T. Andreas,A. T. Andreas,1884,https://archive.org/details/historyofchicago01andr,digitized historical monograph,1,printed pp. 504-506,2026-08-03,Public domain; Internet Archive scan,Van Osdel-centered architectural inventory of brick buildings standing in spring 1837 and discussion of pre-fire survival.
ANDREAS_CIVIC,"History of Chicago: From the Earliest Period to the Present Time, Volume I",A. T. Andreas,A. T. Andreas,1884,https://archive.org/details/historyofchicago01andr,digitized historical monograph,1,"printed pp. 175-177, 191, 198, 204-210, 223, 240-241",2026-08-03,Public domain; Internet Archive scan,"Primary synthesis for courthouse, jail, fire-engine house, bridges, schools, Tremont fire, and lighthouse chronology."
ANDREAS_EARLY,"History of Chicago: From the Earliest Period to the Present Time, Volume I",A. T. Andreas,A. T. Andreas,1884,https://archive.org/details/historyofchicago01andr,digitized historical monograph,1,"printed pp. 96, 100-107, 112-143",2026-08-03,Public domain; Internet Archive scan,"Contemporary-near period synthesis with named early buildings, taverns, stores, bridges, and construction statistics; individual claims are cross-checked where later official sources exist."
ANDREAS_HOTELS,"History of Chicago: From the Earliest Period to the Present Time, Volume I",A. T. Andreas,A. T. Andreas,1884,https://archive.org/details/historyofchicago01andr,digitized historical monograph,1,printed pp. 629-637,2026-08-03,Public domain; Internet Archive scan,"Hotel and tavern chronology with locations, owners, openings, alterations, moves, and destruction dates."
ANDREAS_MFG,"History of Chicago: From the Earliest Period to the Present Time, Volume I",A. T. Andreas,A. T. Andreas,1884,https://archive.org/details/historyofchicago01andr,digitized historical monograph,1,printed pp. 563-568,2026-08-03,Public domain; Internet Archive scan,"Manufacturing chronology for the furnace, flour mill, furniture and sash factories, foundries, and 1839 directory listings."
ANDREAS_RELIGION,"History of Chicago: From the Earliest Period to the Present Time, Volume I",A. T. Andreas,A. T. Andreas,1884,https://archive.org/details/historyofchicago01andr,digitized historical monograph,1,"printed pp. 290-301, 315-326, 334-335",2026-08-03,Public domain; Internet Archive scan,"Detailed institutional histories for St. Mary's, First Presbyterian, First Methodist, and St. James; includes sizes, builders, costs, dedications, and relocations."
ANDREAS_V1,"History of Chicago, Volume I: From the Earliest Period to the Present Time; ending with the year 1857",A. T. Andreas,A. T. Andreas,1884,https://archive.org/details/historyofchicago01inandr,book,2,municipal buildings pp. 180-219; railroads pp. 259-263; churches pp. 292-359; hospitals pp. 594-595,2026-08-03,Public domain,"Near-contemporary synthesis; page locators refer to printed pagination, not OCR line numbers. OCR checked against page flow."
ANDREAS_V1_EARLY,"History of Chicago, Volume I: From the Earliest Period to the Present Time",A. T. Andreas,A. T. Andreas,1884,https://archive.org/details/historyofchicago01andr,city_history,2,"OCR passages on early settlement, 1803 cabins, 1812 houses, 1815-29 building inventory, and 1826 recollections",2026-08-03,Public domain due to publication date,Contemporary-near compilation; OCR was searched locally and claims should be checked against scans for transcription-sensitive names.
ANDREAS_V2,"History of Chicago, Volume II: From 1857 until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,book,2,bridges pp. 68-69; schools pp. 118-121; Old University pp. 463-464; hotels pp. 501-507; theaters pp. 597-599,2026-08-03,Public domain,Near-contemporary synthesis with reproduced newspaper material and recollections; contains occasional typographical/OCR errors.
ANDREAS_V2_FIRE,"History of Chicago, Volume II: From 1857 Until the Fire of 1871",A. T. Andreas,A. T. Andreas,1885,https://archive.org/details/historyofchicago02andr,digitized_historical_monograph,2,"Great Fire chapter: preliminary burned-area estimate; Chicago Relief and Aid Society report; April 24, 1883 Blanchard letter",2026-08-03,Public domain due to publication date,"Preserves three non-additive fire-loss estimates: 13,500 preliminary; 17,450 division sum/18,000 rounded relief-report total; and 15,765 retrospective."
CAC_FORT,Fort Dearborn,Chicago Architecture Center,Chicago Architecture Center,,https://www.architecture.org/online-resources/architecture-encyclopedia/fort-dearborn,architecture_reference,2,Architecture encyclopedia entry,2026-08-03,Use link and attribution,Architecture and site context; includes historic plan reference.
CHICAGOLOGY1844,Chicago Improvements 1844,Chicagology (transcription of 1867 Edwards' Annual Directory material),Chicagology,,https://chicagology.com/prefire/prefire350/,web_transcription,C,section headed Chicago Improvements 1844,2026-08-03,Verify reuse terms with site owner; underlying nineteenth-century text is public domain,Secondary transcription preserving detailed descriptions of four commercial projects attributed to the 1844 building season.
