Construction Year,Building / Identifying Name,Address,Torn Down / Destroyed,Status / Outcome,Construction Date Text,Architect,Source Class,Source As Of,Source URL,Notes,Confidence
1674,Jacques Marquette winter shelter / encampment,Chicago River area,1675,Temporary shelter abandoned after winter,Winter 1674–75,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,Earliest documented temporary European residence in the Chicago area.,High
1780,Jean Baptiste Point du Sable estate — Bakehouse,North bank of Chicago River near present-day Pioneer Court,,No longer extant; precise loss date not established,c. 1780s,,Early settlement research,,https://www.nps.gov/places/jean-baptiste-point-du-sable-homesite.htm,Du Sable estate inventories describe a multi-building homestead and trading complex; dating is approximate.,Medium
1780,Jean Baptiste Point du Sable estate — Barn no. 1,North bank of Chicago River near present-day Pioneer Court,,No longer extant; precise loss date not established,c. 1780s,,Early settlement research,,https://www.nps.gov/places/jean-baptiste-point-du-sable-homesite.htm,Du Sable estate inventories describe a multi-building homestead and trading complex; dating is approximate.,Medium
1780,Jean Baptiste Point du Sable estate — Barn no. 2,North bank of Chicago River near present-day Pioneer Court,,No longer extant; precise loss date not established,c. 1780s,,Early settlement research,,https://www.nps.gov/places/jean-baptiste-point-du-sable-homesite.htm,Du Sable estate inventories describe a multi-building homestead and trading complex; dating is approximate.,Medium
1780,Jean Baptiste Point du Sable estate — Dairy,North bank of Chicago River near present-day Pioneer Court,,No longer extant; precise loss date not established,c. 1780s,,Early settlement research,,https://www.nps.gov/places/jean-baptiste-point-du-sable-homesite.htm,Du Sable estate inventories describe a multi-building homestead and trading complex; dating is approximate.,Medium
1780,Jean Baptiste Point du Sable estate — Horse-powered mill,North bank of Chicago River near present-day Pioneer Court,,No longer extant; precise loss date not established,c. 1780s,,Early settlement research,,https://www.nps.gov/places/jean-baptiste-point-du-sable-homesite.htm,Du Sable estate inventories describe a multi-building homestead and trading complex; dating is approximate.,Medium
1780,Jean Baptiste Point du Sable estate — Main dwelling / trading house,North bank of Chicago River near present-day Pioneer Court,,No longer extant; precise loss date not established,c. 1780s,,Early settlement research,,https://www.nps.gov/places/jean-baptiste-point-du-sable-homesite.htm,Du Sable estate inventories describe a multi-building homestead and trading complex; dating is approximate.,Medium
1780,Jean Baptiste Point du Sable estate — Poultry house,North bank of Chicago River near present-day Pioneer Court,,No longer extant; precise loss date not established,c. 1780s,,Early settlement research,,https://www.nps.gov/places/jean-baptiste-point-du-sable-homesite.htm,Du Sable estate inventories describe a multi-building homestead and trading complex; dating is approximate.,Medium
1780,Jean Baptiste Point du Sable estate — Smokehouse,North bank of Chicago River near present-day Pioneer Court,,No longer extant; precise loss date not established,c. 1780s,,Early settlement research,,https://www.nps.gov/places/jean-baptiste-point-du-sable-homesite.htm,Du Sable estate inventories describe a multi-building homestead and trading complex; dating is approximate.,Medium
1780,Jean Baptiste Point du Sable estate — Stable,North bank of Chicago River near present-day Pioneer Court,,No longer extant; precise loss date not established,c. 1780s,,Early settlement research,,https://www.nps.gov/places/jean-baptiste-point-du-sable-homesite.htm,Du Sable estate inventories describe a multi-building homestead and trading complex; dating is approximate.,Medium
