GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ABN001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,ICPSR State Code,ICPSR County Code,Total
"G1700010","1830","Illinois","170","Adams","0010","Adams","21","10",2186
"G1700030","1830","Illinois","170","Alexander","0030","Alexander","21","30",1390
"G1700050","1830","Illinois","170","Bond","0050","Bond","21","50",3124
"G1700130","1830","Illinois","170","Calhoun","0130","Calhoun","21","130",1090
"G1700230","1830","Illinois","170","Clark","0230","Clark","21","230",3940
"G1700250","1830","Illinois","170","Clay","0250","Clay","21","250",755
"G1700270","1830","Illinois","170","Clinton","0270","Clinton","21","270",2330
"G1700330","1830","Illinois","170","Crawford","0330","Crawford","21","330",3117
"G1700450","1830","Illinois","170","Edgar","0450","Edgar","21","450",4071
"G1700470","1830","Illinois","170","Edwards","0470","Edwards","21","470",1649
"G1700510","1830","Illinois","170","Fayette","0510","Fayette","21","510",2704
"G1700550","1830","Illinois","170","Franklin","0550","Franklin","21","550",4083
"G1700570","1830","Illinois","170","Fulton","0570","Fulton","21","570",1841
"G1700590","1830","Illinois","170","Gallatin","0590","Gallatin","21","590",7405
"G1700610","1830","Illinois","170","Greene","0610","Greene","21","610",7674
"G1700650","1830","Illinois","170","Hamilton","0650","Hamilton","21","650",2616
"G1700670","1830","Illinois","170","Hancock","0670","Hancock","21","670",483
"G1700730","1830","Illinois","170","Henry","0730","Henry","21","730",41
"G1700770","1830","Illinois","170","Jackson","0770","Jackson","21","770",1828
"G1700810","1830","Illinois","170","Jefferson","0810","Jefferson","21","810",2555
"G1700850","1830","Illinois","170","Jo Daviess","0850","Jo Daviess","21","850",2111
"G1700870","1830","Illinois","170","Johnson","0870","Johnson","21","870",1596
"G1700950","1830","Illinois","170","Knox","0950","Knox","21","950",274
"G1701010","1830","Illinois","170","Lawrence","1010","Lawrence","21","1010",3668
"G1701150","1830","Illinois","170","Macon","1150","Macon","21","1150",1122
"G1701170","1830","Illinois","170","Macoupin","1170","Macoupin","21","1170",1990
"G1701190","1830","Illinois","170","Madison","1190","Madison","21","1190",6221
"G1701210","1830","Illinois","170","Marion","1210","Marion","21","1210",2125
"G1701310","1830","Illinois","170","Mercer","1310","Mercer","21","1310",26
"G1701330","1830","Illinois","170","Monroe","1330","Monroe","21","1330",2000
"G1701350","1830","Illinois","170","Montgomery","1350","Montgomery","21","1350",2953
"G1701370","1830","Illinois","170","Morgan","1370","Morgan","21","1370",12714
"G1701450","1830","Illinois","170","Perry","1450","Perry","21","1450",1215
"G1701490","1830","Illinois","170","Pike","1490","Pike","21","1490",2396
"G1701510","1830","Illinois","170","Pope","1510","Pope","21","1510",3316
"G1701550","1830","Illinois","170","Putnam","1550","Putnam","21","1435",1310
"G1701570","1830","Illinois","170","Randolph","1570","Randolph","21","1570",4429
"G1701630","1830","Illinois","170","St Clair","1630","St Clair","21","1630",7078
"G1701670","1830","Illinois","170","Sangamon","1670","Sangamon","21","1670",12960
"G1701690","1830","Illinois","170","Schuyler","1690","Schuyler","21","1695",2959
"G1701730","1830","Illinois","170","Shelby","1730","Shelby","21","1730",2972
"G1701790","1830","Illinois","170","Tazewell","1790","Tazewell","21","1790",4716
"G1701810","1830","Illinois","170","Union","1810","Union","21","1810",3239
"G1701830","1830","Illinois","170","Vermilion","1830","Vermilion","21","1830",5836
"G1701850","1830","Illinois","170","Wabash","1850","Wabash","21","1850",2710
"G1701870","1830","Illinois","170","Warren","1870","Warren","21","1870",308
"G1701890","1830","Illinois","170","Washington","1890","Washington","21","1890",1675
"G1701910","1830","Illinois","170","Wayne","1910","Wayne","21","1910",2553
"G1701930","1830","Illinois","170","White","1930","White","21","1930",6091
