date,date_display,volume,number,source_file,source_pdf_pages,printed_pages,columns_per_page,column_markers,word_count,uncertainty_markers,ocr_methods,txt_filename,docx_filename,notes
1834-02-04,"February 4, 1834",I,11,Jan1834-Mar1834.pdf,1-4,4,6,24,20172,198,Tesseract fallback (page-01-col-1.txt); Tesseract fallback (page-01-col-2.txt); Tesseract fallback (page-01-col-3.txt); Tesseract fallback (page-01-col-5.txt); Tesseract fallback (page-03-col-1.txt); Tesseract fallback (page-03-col-2.txt); Tesseract fallback (page-03-col-3.txt); Tesseract fallback (page-03-col-4.txt); Tesseract fallback (page-03-col-5.txt); Tesseract fallback (page-04-col-2.txt); Tesseract fallback (page-04-col-3.txt); Tesseract fallback (page-04-col-4.txt); Tesseract fallback (page-04-col-5.txt); Tesseract fallback (page-04-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-02-04_VolI_No11_Transcription.txt,Chicago_Democrat_1834-02-04_VolI_No11_Transcription.docx,
1834-02-11,"February 11, 1834",I,12,Jan1834-Mar1834.pdf,5-8,4,6,24,20201,218,Tesseract fallback (page-05-col-1.txt); Tesseract fallback (page-05-col-2.txt); Tesseract fallback (page-05-col-3.txt); Tesseract fallback (page-05-col-4.txt); Tesseract fallback (page-05-col-5.txt); Tesseract fallback (page-05-col-6.txt); Tesseract fallback (page-06-col-1.txt); Tesseract fallback (page-06-col-2.txt); Tesseract fallback (page-06-col-3.txt); Tesseract fallback (page-07-col-3.txt); Tesseract fallback (page-07-col-4.txt); Tesseract fallback (page-07-col-5.txt); Tesseract fallback (page-08-col-3.txt); Tesseract fallback (page-08-col-4.txt); Tesseract fallback (page-08-col-5.txt); Tesseract fallback (page-08-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-02-11_VolI_No12_Transcription.txt,Chicago_Democrat_1834-02-11_VolI_No12_Transcription.docx,
1834-02-18,"February 18, 1834",I,13,Jan1834-Mar1834.pdf,9-12,4,6,24,20508,204,Tesseract fallback (page-09-col-2.txt); Tesseract fallback (page-09-col-3.txt); Tesseract fallback (page-09-col-4.txt); Tesseract fallback (page-09-col-6.txt); Tesseract fallback (page-10-col-2.txt); Tesseract fallback (page-11-col-2.txt); Tesseract fallback (page-11-col-3.txt); Tesseract fallback (page-11-col-4.txt); Tesseract fallback (page-11-col-5.txt); Tesseract fallback (page-11-col-6.txt); Tesseract fallback (page-12-col-2.txt); Tesseract fallback (page-12-col-3.txt); Tesseract fallback (page-12-col-4.txt); Tesseract fallback (page-12-col-5.txt); Tesseract fallback (page-12-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-02-18_VolI_No13_Transcription.txt,Chicago_Democrat_1834-02-18_VolI_No13_Transcription.docx,
1834-02-25,"February 25, 1834",I,14,Jan1834-Mar1834.pdf,13-16,4,6,24,19251,178,Tesseract fallback (page-13-col-2.txt); Tesseract fallback (page-13-col-3.txt); Tesseract fallback (page-13-col-5.txt); Tesseract fallback (page-13-col-6.txt); Tesseract fallback (page-15-col-3.txt); Tesseract fallback (page-15-col-4.txt); Tesseract fallback (page-15-col-5.txt); Tesseract fallback (page-15-col-6.txt); Tesseract fallback (page-16-col-3.txt); Tesseract fallback (page-16-col-4.txt); Tesseract fallback (page-16-col-5.txt); Tesseract fallback (page-16-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-02-25_VolI_No14_Transcription.txt,Chicago_Democrat_1834-02-25_VolI_No14_Transcription.docx,
1834-03-04,"March 4, 1834",I,15,Jan1834-Mar1834.pdf,17-20,4,6,24,21162,409,Tesseract fallback (page-17-col-2.txt); Tesseract fallback (page-17-col-3.txt); Tesseract fallback (page-17-col-4.txt); Tesseract fallback (page-17-col-5.txt); Tesseract fallback (page-17-col-6.txt); Tesseract fallback (page-19-col-1.txt); Tesseract fallback (page-19-col-3.txt); Tesseract fallback (page-19-col-4.txt); Tesseract fallback (page-19-col-5.txt); Tesseract fallback (page-19-col-6.txt); Tesseract fallback (page-20-col-3.txt); Tesseract fallback (page-20-col-4.txt); Tesseract fallback (page-20-col-5.txt); Tesseract fallback (page-20-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-03-04_VolI_No15_Transcription.txt,Chicago_Democrat_1834-03-04_VolI_No15_Transcription.docx,
1834-03-18,"March 18, 1834",I,16,Jan1834-Mar1834.pdf,21-24,4,6,24,19668,269,Tesseract fallback (page-21-col-5.txt); Tesseract fallback (page-21-col-6.txt); Tesseract fallback (page-22-col-5.txt); Tesseract fallback (page-23-col-3.txt); Tesseract fallback (page-23-col-4.txt); Tesseract fallback (page-23-col-5.txt); Tesseract fallback (page-23-col-6.txt); Tesseract fallback (page-24-col-1.txt); Tesseract fallback (page-24-col-2.txt); Tesseract fallback (page-24-col-3.txt); Tesseract fallback (page-24-col-4.txt); Tesseract fallback (page-24-col-5.txt); Tesseract fallback (page-24-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-03-18_VolI_No16_Transcription.txt,Chicago_Democrat_1834-03-18_VolI_No16_Transcription.docx,"No March 11 issue is supplied; the printed sequence resumes with March 18, No. 16."
1834-03-25,"March 25, 1834",I,17,Jan1834-Mar1834.pdf,25-28,4,6,24,19404,324,Tesseract fallback (page-25-col-2.txt); Tesseract fallback (page-25-col-3.txt); Tesseract fallback (page-25-col-5.txt); Tesseract fallback (page-27-col-2.txt); Tesseract fallback (page-27-col-3.txt); Tesseract fallback (page-27-col-4.txt); Tesseract fallback (page-27-col-5.txt); Tesseract fallback (page-27-col-6.txt); Tesseract fallback (page-28-col-1.txt); Tesseract fallback (page-28-col-2.txt); Tesseract fallback (page-28-col-3.txt); Tesseract fallback (page-28-col-4.txt); Tesseract fallback (page-28-col-5.txt); Tesseract fallback (page-28-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-03-25_VolI_No17_Transcription.txt,Chicago_Democrat_1834-03-25_VolI_No17_Transcription.docx,
1834-04-01,"April 1, 1834",I,18,Apr1834-May1834.pdf,1-4,4,8,32,21262,238,Tesseract fallback (p02_c3.txt); Tesseract fallback (p02_c4.txt); Tesseract fallback (p02_c8.txt); Tesseract fallback (p03_c1.txt); Tesseract fallback (p03_c2.txt); Tesseract fallback (p03_c3.txt); Tesseract fallback (p03_c4.txt); Tesseract fallback (p03_c5.txt); Tesseract fallback (p03_c6.txt); Tesseract fallback (p03_c7.txt); Tesseract fallback (p03_c8.txt); Tesseract fallback (p04_c1.txt); Tesseract fallback (p04_c3.txt); Tesseract fallback (p04_c4.txt); Tesseract fallback (p04_c5.txt); Tesseract fallback (p04_c6.txt); Tesseract fallback (p04_c7.txt); Tesseract fallback (p04_c8.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-04-01_VolI_No18_Transcription.txt,Chicago_Democrat_1834-04-01_VolI_No18_Transcription.docx,
1834-04-08,"April 8, 1834",I,19,Apr1834-May1834.pdf,5-8,4,8,32,18619,236,Tesseract fallback (p05_c6.txt); Tesseract fallback (p06_c2.txt); Tesseract fallback (p06_c3.txt); Tesseract fallback (p07_c3.txt); Tesseract fallback (p07_c4.txt); Tesseract fallback (p07_c5.txt); Tesseract fallback (p07_c6.txt); Tesseract fallback (p07_c7.txt); Tesseract fallback (p08_c1.txt); Tesseract fallback (p08_c2.txt); Tesseract fallback (p08_c3.txt); Tesseract fallback (p08_c4.txt); Tesseract fallback (p08_c5.txt); Tesseract fallback (p08_c6.txt); Tesseract fallback (p08_c7.txt); Tesseract fallback (p08_c8.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-04-08_VolI_No19_Transcription.txt,Chicago_Democrat_1834-04-08_VolI_No19_Transcription.docx,
1834-04-16,"April 16, 1834",I,20,Apr1834-May1834.pdf,9-12,4,8,32,21549,240,Tesseract fallback (p10_c1.txt); Tesseract fallback (p10_c2.txt); Tesseract fallback (p10_c3.txt); Tesseract fallback (p11_c1.txt); Tesseract fallback (p11_c2.txt); Tesseract fallback (p11_c6.txt); Tesseract fallback (p11_c7.txt); Tesseract fallback (p11_c8.txt); Tesseract fallback (p12_c1.txt); Tesseract fallback (p12_c2.txt); Tesseract fallback (p12_c3.txt); Tesseract fallback (p12_c4.txt); Tesseract fallback (p12_c5.txt); Tesseract fallback (p12_c6.txt); Tesseract fallback (p12_c7.txt); Tesseract fallback (p12_c8.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-04-16_VolI_No20_Transcription.txt,Chicago_Democrat_1834-04-16_VolI_No20_Transcription.docx,The printed publication day changes from Tuesday to Wednesday after April 8.
