ticket,person_id,person_name,query,date_searched,result,result_summary,sources_returned
T-0462,bates_john_jr,John Bates Jr.,"""John Bates Jr."" Chicago 1835",2026-09-01,found,"The 1843 Chicago directory identifies John Bates Jr. as an auctioneer at 174 Lake Street, independently extending the exact-name and trade match beyond Andreas.",norris_chicago_directory_1843
T-0462,bates_john_jr,John Bates Jr.,"""John Bates Jr."" Illinois 1834 1835",2026-09-01,found,"The 1843 Chicago directory identifies John Bates Jr. as an auctioneer at 174 Lake Street, independently extending the exact-name and trade match beyond Andreas.",norris_chicago_directory_1843
T-0462,bates_john_jr,John Bates Jr.,"""John Bates Jr."" genealogy occupation migration",2026-09-01,found,"The 1843 Chicago directory identifies John Bates Jr. as an auctioneer at 174 Lake Street, independently extending the exact-name and trade match beyond Andreas.",norris_chicago_directory_1843
T-0462,beaubien_jean_baptiste,Col. Jean Baptiste Beaubien,"""Col. Jean Baptiste Beaubien"" Chicago 1835",2026-09-01,found,The United States Supreme Court record says John Baptiste Beaubean of Cook County paid $94.61 on 28 May 1835 for 75.69 acres. It directly supports his Cook County identity and land claim; it does not resolve conflicting retrospective cabin dates.,wilcox_v_jackson_1839
T-0462,beaubien_jean_baptiste,Col. Jean Baptiste Beaubien,"""Col. Jean Baptiste Beaubien"" Illinois 1834 1835",2026-09-01,found,The United States Supreme Court record says John Baptiste Beaubean of Cook County paid $94.61 on 28 May 1835 for 75.69 acres. It directly supports his Cook County identity and land claim; it does not resolve conflicting retrospective cabin dates.,wilcox_v_jackson_1839
T-0462,beaubien_jean_baptiste,Col. Jean Baptiste Beaubien,"""Col. Jean Baptiste Beaubien"" genealogy occupation migration",2026-09-01,found,The United States Supreme Court record says John Baptiste Beaubean of Cook County paid $94.61 on 28 May 1835 for 75.69 acres. It directly supports his Cook County identity and land claim; it does not resolve conflicting retrospective cabin dates.,wilcox_v_jackson_1839
T-0462,beaubien_josette,Josette LaFramboise Beaubien,"""Josette LaFramboise Beaubien"" Chicago 1835",2026-09-01,found,Citizen Potawatomi Nation identifies Josette LaFromboise as Francis LaFromboise's daughter and Jean Baptiste Beaubien's wife. The relationship is corroborated; her exact roof on 1 July 1835 remains inferred.,cpn_beaubien_family
T-0462,beaubien_josette,Josette LaFramboise Beaubien,"""Josette LaFramboise Beaubien"" Illinois 1834 1835",2026-09-01,found,Citizen Potawatomi Nation identifies Josette LaFromboise as Francis LaFromboise's daughter and Jean Baptiste Beaubien's wife. The relationship is corroborated; her exact roof on 1 July 1835 remains inferred.,cpn_beaubien_family
T-0462,beaubien_josette,Josette LaFramboise Beaubien,"""Josette LaFramboise Beaubien"" genealogy occupation migration",2026-09-01,found,Citizen Potawatomi Nation identifies Josette LaFromboise as Francis LaFromboise's daughter and Jean Baptiste Beaubien's wife. The relationship is corroborated; her exact roof on 1 July 1835 remains inferred.,cpn_beaubien_family
T-0462,beaubien_madore,Madore Benjamin Beaubien,"""Madore Benjamin Beaubien"" Chicago 1835",2026-09-01,found,Citizen Potawatomi Nation identifies Madore as the 1809 son of Jean Baptiste Beaubien and Mahnawbunokwe and describes his later interpreting work. A tree-only marriage lead was not imported.,cpn_madore_beaubien
T-0462,beaubien_madore,Madore Benjamin Beaubien,"""Madore Benjamin Beaubien"" Illinois 1834 1835",2026-09-01,found,Citizen Potawatomi Nation identifies Madore as the 1809 son of Jean Baptiste Beaubien and Mahnawbunokwe and describes his later interpreting work. A tree-only marriage lead was not imported.,cpn_madore_beaubien
T-0462,beaubien_madore,Madore Benjamin Beaubien,"""Madore Benjamin Beaubien"" genealogy occupation migration",2026-09-01,found,Citizen Potawatomi Nation identifies Madore as the 1809 son of Jean Baptiste Beaubien and Mahnawbunokwe and describes his later interpreting work. A tree-only marriage lead was not imported.,cpn_madore_beaubien
T-0462,beaubien_mark,Mark Beaubien,"""Mark Beaubien"" Chicago 1835",2026-09-01,found,Chicago History Museum's encyclopedia independently gives Mark Beaubien's 1826 arrival from Detroit and merchant and tavern roles. It strengthens the biography but does not establish his exact 1835 roof.,encyclopedia_chicago_mark_beaubien
T-0462,beaubien_mark,Mark Beaubien,"""Mark Beaubien"" Illinois 1834 1835",2026-09-01,found,Chicago History Museum's encyclopedia independently gives Mark Beaubien's 1826 arrival from Detroit and merchant and tavern roles. It strengthens the biography but does not establish his exact 1835 roof.,encyclopedia_chicago_mark_beaubien
T-0462,beaubien_mark,Mark Beaubien,"""Mark Beaubien"" genealogy occupation migration",2026-09-01,found,Chicago History Museum's encyclopedia independently gives Mark Beaubien's 1826 arrival from Detroit and merchant and tavern roles. It strengthens the biography but does not establish his exact 1835 roof.,encyclopedia_chicago_mark_beaubien
T-0462,caldwell_billy,Billy Caldwell (Sauganash),"""Billy Caldwell (Sauganash)"" Chicago 1835",2026-09-01,found,Institutional histories corroborate Billy Caldwell's Chicago leadership and place the westward removal in 1835. This conflicts with Andreas/project language placing migration in 1836 and is retained as a dated conflict.,encyclopedia_chicago_potawatomis
T-0462,caldwell_billy,Billy Caldwell (Sauganash),"""Billy Caldwell (Sauganash)"" Illinois 1834 1835",2026-09-01,found,Institutional histories corroborate Billy Caldwell's Chicago leadership and place the westward removal in 1835. This conflicts with Andreas/project language placing migration in 1836 and is retained as a dated conflict.,encyclopedia_chicago_potawatomis
T-0462,caldwell_billy,Billy Caldwell (Sauganash),"""Billy Caldwell (Sauganash)"" genealogy occupation migration",2026-09-01,found,Institutional histories corroborate Billy Caldwell's Chicago leadership and place the westward removal in 1835. This conflicts with Andreas/project language placing migration in 1836 and is retained as a dated conflict.,encyclopedia_chicago_potawatomis
T-0462,calhoun_john,John Calhoun,"""John Calhoun"" Chicago 1835",2026-09-01,found,The Encyclopedia of Chicago independently identifies John Calhoun as founder of the Chicago Weekly Democrat in 1833 and operator of the city's earliest press.,encyclopedia_chicago_newspapers
T-0462,calhoun_john,John Calhoun,"""John Calhoun"" Illinois 1834 1835",2026-09-01,found,The Encyclopedia of Chicago independently identifies John Calhoun as founder of the Chicago Weekly Democrat in 1833 and operator of the city's earliest press.,encyclopedia_chicago_newspapers
T-0462,calhoun_john,John Calhoun,"""John Calhoun"" genealogy occupation migration",2026-09-01,found,The Encyclopedia of Chicago independently identifies John Calhoun as founder of the Chicago Weekly Democrat in 1833 and operator of the city's earliest press.,encyclopedia_chicago_newspapers
T-0462,clybourne_archibald,Archibald Clybourne,"""Archibald Clybourne"" Chicago 1835",2026-09-01,found,"The Encyclopedia of Chicago places Clybourn's slaughterhouse at the city limits from 1827 and describes his 1830s door-to-door meat trade, corroborating occupation while preserving its outside-town location.",encyclopedia_chicago_food_processing
T-0462,clybourne_archibald,Archibald Clybourne,"""Archibald Clybourne"" Illinois 1834 1835",2026-09-01,found,"The Encyclopedia of Chicago places Clybourn's slaughterhouse at the city limits from 1827 and describes his 1830s door-to-door meat trade, corroborating occupation while preserving its outside-town location.",encyclopedia_chicago_food_processing
