ticket,person_id,person_name,candidate_id,candidate_name,assessment,asserted,basis,conflicts,source_ids
T-0463,couch_james,James Couch,couch_james-c1,"James Couch, later Tremont House proprietor",strong,no,"Exact name, brother Ira and distinctive hotel career.",Reviewed histories place the Couch hotel operation after the 1 July 1835 scene date.,chicagology_prefire127
T-0463,alling_prudde,Prudde Alling,alling_prudde-c1,Prudden Alling,possible,no,Rare near-exact name and likely terminal-letter loss.,"No Chicago, Illinois or scene-date discriminator was found.",
T-0463,blair_william_g,William G Blair,blair_william_g-c1,William G. Blair of Winnebago County,possible,no,Exact initials and northern-Illinois chronology.,No direct Chicago post-office link; common name.,rockford_first_settlers_1835
T-0463,bly_rouse,Rouse Bly,bly_rouse-c1,"Rouse Bly of New Haven Township, Ohio",possible,no,Exact uncommon name and adult period chronology.,Documented Ohio residence and no Chicago migration bridge.,ohio_firelands_rouse_bly
T-0463,butterfield_ben,Ben Butterfield,butterfield_ben-c1,Ben Butterfield of Lockport,strong,no,"Exact familiar name, Cook/Will region and explicit Chicago route.",Lockport residence; no record links him to this letter.,hmdb_butterfield_trail
T-0463,chadwick_joseph,Joseph Chadwick,chadwick_joseph-c1,"Joseph M. Chadwick, later of Goliad",possible,no,"Exact first and surname, Illinois residence and compatible chronology.",No Chicago location or letter linkage; candidate left for Texas by December 1835.,tsaha_joseph_chadwick
T-0463,comstock_h_h,H. H. Comstock,comstock_h_h-c1,H. H. Comstock of Kalamazoo County,possible,no,"Exact initials, uncommon surname and Great Lakes chronology.",Michigan rather than Chicago residence; no letter bridge.,michigan_hh_comstock_history
T-0463,reel_absolam,Absolam Reel,reel_absolam-c1,Absalom Reel of Indiana,possible,no,Near-exact rare name in a contemporary regional record.,Indiana record and no Chicago link; Absolam/Absalom spelling differs.,indiana_absalom_reel_1834
T-0463,churchill_alfred,Alfred Churchill,churchill_alfred-c1,Alfred Churchill of Flag Creek,strong,no,"Exact name, Cook County and near-date civic record.",Hinterland residence and no explicit letter linkage.,goodman_history_cook_county_early
T-0463,dunlap_alva,Alva Dunlap,dunlap_alva-c1,Alva Dunlap of Peoria County,strong,no,Exact uncommon name and 1834 Illinois travel.,Later Peoria-area settlement and no direct letter bridge.,dunlap_alva_dunlap_history
T-0463,miles_andrew,Andrew Miles,miles_andrew-c1,Andrew Miles or Mills of Kane County,strong,no,"Exact given name, near-exact surname and 1834 regional claim.",Miles/Mills source conflict; no direct link to the Chicago letter.,kane_geneva_andrew_miles
T-0463,bailey_bennet,Bennet Bailey,bailey_bennet-c1,Bennet Bailey of the Chicago Mechanics' Institute,strong,no,Exact name and later Chicago institutional role.,No record bridges the 1834 letter to the 1843 directory entry.,norris_chicago_directory_1843
T-0463,bartlett_charles_h,Charles H. Bartlett,bartlett_charles_h-c1,Charles H. Bartlett of Diamond Lake,strong,no,Exact full name and 1834 Lake County chronology.,Regional farm rather than Chicago town; letter not identified in the finding aid.,chm_bartlett_diaries
T-0463,albee_clark_b,Clark B. Albee,albee_clark_b-c1,Clark B. Albee of Grand Haven,strong,no,"Exact full name, Great Lakes trade and named Chicago associate.",Documented Michigan setting and no direct letter link.,migenweb_clark_albee_grand_haven
T-0463,parkes_curtis,Curtis Parkes,parkes_curtis-c1,Curtis Parkes of Porter County,strong,no,Exact uncommon name and dated adjacent-county civic record.,Porter County residence and no direct letter bridge.,porter_curtis_parkes
