ticket,source_id,cited_by_people,type,citation,date,describes_date,tier,rights_status,url,locator,limitations
T-0463,caton_atlantic_chicago_1893,1,website,"John Dean Caton, '’T Is Sixty Years Since in Chicago,' The Atlantic, May 1893",accessed 2026-09-01,1833-1834,4,check_required,https://www.theatlantic.com/magazine/archive/1893/05/t-is-sixty-years-since-in-chicago/633458/,Caton's recollection of the early Chicago bar and circuit court,Near-participant recollection reviewed for T-0463. It identifies Edward W. Casey by name and profession; its sixty-year distance is retained as a limit.
T-0463,chicagology_prefire127,3,website,"""Green Tree Tavern."" Chicagology. Transcribing the Inter Ocean of 1 July 1883 — the old-settlers hotel feature, in which named witnesses who had lived in the house are shown a sketch of it and asked to correct it — and Edwin O. Gale's Reminiscences of Early Chicago and Vicinity (1902), around nine city directories 1839-1885 and Chicago Tribune notices of the 1880 move and the 1902 collapse.",accessed 2026-08-10,1833-1902,2,check_required,https://chicagology.com/prefire/prefire127/,,"THE BEST-DOCUMENTED BUILDING INTERIOR IN THIS DATASET, and the reason is that the Green Tree survived long enough to be remembered in print by people who had slept in it. Named witnesses, not anonymous compilation: F. H. Taylor on the plan — 'The fornt was on Canal street and this side was on Lake' (sic, the page's own typo); John Gray on the circulation — 'A hall divided the house and a stairway in this hall led to the second floor', the entrance 'on the Lake street front about the middle of the long side', the bar-room occupying a whole end, 'a small attic window in the gable end, for we used the attic, too', and 'a low one-story addition to the right, the same as on the left'; Edwin O. Gale on a guest chamber 'about 12x12, with two windows 6x8' whose 'walls, ceilings, and board partitions had evidently received a coat of whitewash when the house was built'; and an editor's note that 'Seven and one-half feet is rather low for a hotel ceiling'. Also: built 1833 by James Kinzie, carpenter named here as Philo Cobb (DRLOIH says Silas B. Cobb, who is the historically real person); landlord Chester Ingersoll 1834-37; moved 1880 from Lake and Canal to 35 and 37 Milwaukee Avenue for the Jones & Laughlin works; collapsed and demolished August 1902. RE-READ 2026-08-10 AND REGRADED FROM TIER 4 TO TIER 2, on what the page carries rather than on what hosts it: an 1883 newspaper interview with a man who kept the house is a near-primary recollection whatever site reprints it, which is the grade this dataset already gives chicagology_prefire252 for the same reason. The transcribed documents are declared in `transcribes` so the rung is re-derivable. THREE LIMITS WORTH STATING. The whitewash is INTERIOR — walls, ceilings and partitions — and says nothing about the exterior finish, a distinction that has been lost in at least one secondary summary of this page. The witnesses are recalling the building from the late 1830s and 1840s, a few years after the 1835 scene date, and at fifty years' remove; Gale's 'when the house was built' is what ties the fabric he describes back to 1833. And the page itself says the recollections disagree — 'these differences of opinion will show how difficult it will be to ever write the history of Chicago completely' — so tier 2 grades the KIND of evidence and not its unanimity. The city directories and the Tribune and Inter Ocean notices around the interviews are period documents in their own right; no claim in this dataset rests on them, so they are apparatus here and are not declared."
T-0463,chm_bartlett_diaries,2,website,"Chicago History Museum, Charles H. Bartlett diaries, 1829-1891, catalog record",accessed 2026-09-01,1829-1891,4,check_required,https://explore.chicagocollections.org/marcxml/chicagohistory/30/p26r92f/,collection description,Institutional finding aid reviewed for T-0463. It places exact-name Bartlett farming near Diamond Lake from 1834; image-level diary work is needed to link a Chicago letter.
T-0463,dunlap_alva_dunlap_history,2,website,"Dunlap Community Unit School District, community history of Alva Dunlap",accessed 2026-09-01,1834-1838,4,check_required,https://www.dunlapcusd.net/district/history,district history page,Local institutional history reviewed for T-0463. It dates Dunlap's first Illinois trip to 1834 and later settlement near Peoria; the Chicago letter remains unlinked.
T-0463,first_presbyterian_chicago_1833_1913,1,website,"The First Presbyterian Church, 1833–1913",accessed 2026-09-01,nineteenth century,4,check_required,https://upload.wikimedia.org/wikipedia/commons/1/1d/The_First_Presbyterian_church%2C_1833-1913%3B_a_history_of_the_oldest_organization_in_Chicago%2C_with_biographical_sketches_of_the_ministers_and_extracts_from_the_choir_records_%28IA_firstpreschurch00otis%29.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0463,goodman_history_cook_county_early,8,website,"Josiah Seymour Currey and Weston A. Goodspeed, History of Cook County, Illinois, early Chicago chapters",accessed 2026-09-01,1833-1836,4,check_required,https://libsysdigi.library.uiuc.edu/OCA/Books2009-04/historyofcookcou/historyofcookcou01good/historyofcookcou01good_djvu.txt,"digitized full text, named-person passages","Reviewed for T-0463 as a cited retrospective county history. Used for dated rosters and institutional chronology, not to infer a household from a name."
T-0463,hmdb_butterfield_trail,2,website,Butterfield Trail historical marker transcription,accessed 2026-09-01,1830-1831,4,check_required,https://www.hmdb.org/m.asp?m=164819,marker inscription,Discovery-grade marker reviewed for T-0463. It places Ben Butterfield at Lockport and on a route to Chicago; it does not prove that he was the letter recipient.
T-0463,indiana_absalom_reel_1834,2,website,"Western Sun & General Advertiser, 29 March 1834, Absalom Reel court notice",accessed 2026-09-01,1834-03-29,4,check_required,https://newspapers.library.in.gov/?a=d&d=WSGA18340329.1.3,page 3 court notice,Contemporary newspaper image reviewed for T-0463. It supplies a competing Indiana exact-name record; no evidence ties that person to the Chicago letter.
T-0463,ingale_early_chicago_reminiscence,4,website,"Reminiscence of Early Chicago, Hiram Pearsons passage",accessed 2026-09-01,nineteenth century,4,check_required,https://dn720304.ca.archive.org/0/items/reminiscenceofe00ingale/reminiscenceofe00ingale.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0463,jsp_illinois_statutes_gale_imprint,1,website,"Joseph Smith Papers bibliography, Public and General Statute Laws of Illinois, Chicago: Stephen F. Gale, 1839",accessed 2026-09-01,1839,4,check_required,https://www.josephsmithpapers.org/paper-summary/mayors-order-to-henry-g-sherwood-8-december-1843/2,bibliographic note to Illinois statute compilation,Edited documentary bibliography reviewed for T-0463. It supplies Gale's exact Chicago printing imprint; it is not evidence for a scene-date address.
T-0463,jsp_russel_heacock_plat,1,website,"Papers of Abraham Lincoln, act concerning Russel E. Heacock's Chicago subdivision plat",accessed 2026-09-01,nineteenth century,4,check_required,https://papersofabrahamlincoln.org/documents/D271291,document D271291,Edited primary document reviewed for T-0463. Exact name and a Chicago land subdivision distinguish Heacock from other surname matches.
T-0463,kane_geneva_andrew_miles,2,website,"History of Kane County, Geneva Township chapter, Andrew Miles or Mills passage",accessed 2026-09-01,1834,4,check_required,https://genealogytrails.com/ill/kane/geneva.html,Captain Dodson recollection in township history,Transcribed county history reviewed for T-0463. It gives a Kane County claim and a Miles/Mills spelling conflict; no direct link to the Chicago post-office entry was found.
