ticket,cohort,person_id,household_id,name_transcribed,stratum,starting_grade,letter_list_dates,research_outcome,ladder_rule,candidate_id,source_ids,evidence_seen,refusals_seen,summary
T-0509,pass_14,boles_george,hh_boles_george,George Boles,letter_list_only_present,inferred,1835-07-01,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates George Boles from outside the record already held: the papers hold the name only on the post-office return(s) of 1835-07-01.
T-0509,pass_14,parsalls_austin,hh_parsalls_austin,Austin Parsalls,letter_list_only_uncertain,inferred,1834-04-01,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates Austin Parsalls from outside the record already held: the papers hold the name only on the post-office return(s) of 1834-04-01.
T-0509,pass_14,king_byram,hh_king_byram,Byram King,established_profile,attested,,candidate_identity,R3,cand_byram_king_fergus_1839,census_1840_chicago_familysearch_images;chicago_democrat_1833_1835;chicago_tribune_1882_04_25_old_settler_deaths;fergus_chicago_directory_1839,census_1840;census_1840_ruled;fergus_1839;fergus_1843;newberry_leads;norris_1844;old_settler_deaths;spend_crosswalk,census_1840_ruled;fergus_1843;newberry_leads;norris_1844;spend_crosswalk,"Every route to this man is contested in the same way. Fergus 1839 prints 'King, Byram, Jones, King & Co.' and the old-settler notice 'King, Byram, died', but three residents of 1835 meet each entry on the folding rule and at most one is the man printed. The 1840 head 'Byram King' at page 207 line 4 is an L7 candidate with no independent discriminator, and the page falls outside the 210-row serial recovery, so no bridge row can be keyed on it."
T-0509,pass_14,bostwick_e_b,hh_bostwick_e_b,E. B. Bostwick,letter_list_only_present,inferred,1835-07-01,no_corroboration,R4,,chicago_democrat_1833_1835,fergus_1843;newspaper_register;norris_1844,fergus_1843;norris_1844,"Nothing reviewed in this pass corroborates E. B. Bostwick from outside the record already held: the fergus chicago directory 1843, norris directory 1844 agreement is a surname-only refusal; the papers hold the name only on the post-office return(s) of 1835-07-01."
T-0509,pass_14,paige_b_r,hh_paige_b_r,B. R. Paige,letter_list_only_uncertain,inferred,1835-05-20,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,newberry_leads;newspaper_register,,B. R. Paige is held as a candidate and not asserted: 1 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the papers hold the name only on the post-office return(s) of 1835-05-20.
T-0509,pass_14,thrall_e_l,hh_thrall_e_l,E. L. Thrall,established_profile,attested,,corroborated_enrichment,R1,,chicago_democrat_1833_1835;fergus_chicago_directory_1839,fergus_1839_election;fergus_1843;newspaper_register;norris_1844;spend_crosswalk,spend_crosswalk,"The 1837 election return prints 'Edward L. Thrall' — the forename expanding the E. and the middle initial agreeing — which carries that he was in Chicago and in ward 1 on 2 May 1837. It is a different record from the 1839 listing already on his card, though printed in the same volume. The papers give the trade: clothier, 4 June 1834."
T-0509,pass_14,bradstreet_j_p,hh_bradstreet_j_p,J. P Bradstreet,letter_list_only_present,inferred,1835-07-01,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates J. P Bradstreet from outside the record already held: the papers hold the name only on the post-office return(s) of 1835-07-01.
T-0509,pass_14,bailey_bennet,hh_bailey_bennet,Bennet Bailey,letter_list_only_uncertain,inferred,1835-05-20,corroborated_enrichment,R1,,chicago_democrat_1833_1835;fergus_chicago_directory_1839;norris_chicago_directory_1843,address_backproj;fergus_1839;fergus_1839_election;fergus_1843;newberry_leads;newspaper_register;norris_1844;spend_crosswalk,address_backproj;spend_crosswalk,"Fergus 1839 prints 'Bailey, Bennett, carpenter and builder' and the 1837 election return 'Bennett Bailey' — an uncommon forename spelt out twice, four and two years after the scene. Pass 3 saw only the 1843 Mechanics' Institute directorship and called it a candidate over a nine-year gap; the 1837 return closes most of that gap and the trade is a further discriminator. Carried as 1837 and 1839 evidence; the 1835 grade does not move."
T-0509,pass_14,fowler_elmira,hh_fowler_elmira,Elmira Fowler,established_profile,attested,,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,newberry_leads;newspaper_register,,Elmira Fowler is held as a candidate and not asserted: 3 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the papers carry the name 1834-11-05 as dressmaker.
T-0509,pass_14,brookins_david,hh_brookins_david,David Brookins,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,cand_david_brookins_dupage,chicago_democrat_1833_1835;dupage_history_david_brookins,newspaper_register,,"The Du Page County history reports that David Brookins sold carriages in Chicago before the family moved west. The source record was written for an earlier pass and says plainly that it does not tie him to the post-office return, so it supplies a candidate identity and nothing more."
T-0509,pass_14,foster_caleb,hh_foster_caleb,Caleb Foster,letter_list_only_uncertain,inferred,1834-01-28;1835-05-20,no_corroboration,R4,,chicago_democrat_1833_1835,fergus_1843;newspaper_register;norris_1844;norris_adv;old_settler_deaths,fergus_1843;norris_1844;norris_adv;old_settler_deaths,"Nothing reviewed in this pass corroborates Caleb Foster from outside the record already held: the chicago tribune 1882 04 25 old settler deaths, fergus chicago directory 1843, norris directory 1844 agreement is a surname-only refusal; the papers hold the name only on the post-office return(s) of 1834-01-28 to 1835-05-20, 1835-08-19."
T-0509,pass_14,clarke_h_b,hh_clarke_h_b,H. B. Clarke,established_profile,attested,,corroborated_enrichment,R1,,chicago_democrat_1833_1835;fergus_chicago_directory_1839,address_backproj;fergus_1839;fergus_1839_election;fergus_1843;newberry_leads;newspaper_register;norris_1844;norris_adv;old_settler_deaths;spend_crosswalk,spend_crosswalk,"The 1837 election return prints 'Henry B. Clarke', expanding both initials of H. B. Clarke, and the papers carry him as a hardware merchant between 27 May and 29 July 1835. REFUSED in the same pass: the old-settler notice 'Clarke, Dr. Henry, died, Walworth, Wis., before April 23, 1853, aged 60' agrees on surname and first initial only, gives a doctor rather than a merchant and a Wisconsin death; it is a different man and is not carried."
T-0509,pass_14,brooks_gardner,hh_brooks_gardner,Gardner Brooks,letter_list_only_present,attested,1835-07-01,corroborated,R2,,chicago_democrat_1833_1835;chicago_voter_lists_1833_1835_irad;desplaines_gardner_brooks,fergus_1843;newberry_leads;newspaper_register;norris_1844;voter_lists,fergus_1843;newberry_leads;norris_1844,"The 1834 poll list prints 'Brooks, Gardner' and one bearer of the surname was considered: an uncommon forename agreeing whole against a town list taken within the scene window. Pass 2 could only offer the Des Plaines settlers' history and called it a candidate; the voter read (T-0493) landed afterwards and settles the man in the town, not merely on the river."
T-0509,pass_14,romer_carl,hh_romer_carl,Carl Romer,letter_list_only_uncertain,inferred,1835-05-20,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,newberry_leads;newspaper_register,newberry_leads,Carl Romer is held as a candidate and not asserted: 1 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the newberry genealogical index agreement is a surname-only refusal; the papers hold the name only on the post-office return(s) of 1835-05-20.
T-0509,pass_14,bennett_h_c,hh_bennett_h_c,H. C. Bennett,established_profile,attested,,candidate_identity,R3,cand_henry_bennett_fergus_1839,chicago_democrat_1833_1835;fergus_chicago_directory_1839,address_backproj;fergus_1839;fergus_1843;newberry_leads;newspaper_register;norris_1844;spend_crosswalk,address_backproj;norris_1844;spend_crosswalk,"Fergus 1839 prints 'Bennett, Henry, speculator, bds Illinois Exchange'. The forename expands the H., but the record's C. is absent from the entry rather than confirmed by it, and the papers give this man as an attorney in December 1834 — a different trade. Held as a candidate."
T-0509,pass_14,brush_matthias,hh_brush_matthias,Matthias Brush,letter_list_only_present,inferred,1835-07-01,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates Matthias Brush from outside the record already held: the papers hold the name only on the post-office return(s) of 1835-07-01.
T-0509,pass_14,drake_charles_c,hh_drake_charles_c,Charles C. Drake,letter_list_only_uncertain,inferred,1834-07-09,no_corroboration,R4,,chicago_democrat_1833_1835,fergus_1843;newspaper_register;norris_1844;old_settler_deaths,fergus_1843;norris_1844;old_settler_deaths,"Nothing reviewed in this pass corroborates Charles C. Drake from outside the record already held: the chicago tribune 1882 04 25 old settler deaths, fergus chicago directory 1843, norris directory 1844 agreement is a surname-only refusal; the papers hold the name only on the post-office return(s) of 1834-07-09 to 1834-07-16."
T-0509,pass_14,crocker_h,hh_crocker_h,H. Crocker,established_profile,attested,,corroborated_enrichment,R1,,chicago_democrat_1833_1835;chicago_tribune_1882_04_25_old_settler_deaths;fergus_chicago_directory_1839,fergus_1839;fergus_1843;newberry_leads;newspaper_register;old_settler_deaths;spend_crosswalk,fergus_1843;newberry_leads;spend_crosswalk,"Two independent later records agree on the same expansion and the same trade: Fergus 1839, 'Crocker, Hans, attorney at law', and the old-settler notice 'Crocker, Hans, lawyer, died, Milwaukee, Wis., Mar. 17, 1889, a. 73'. The 1889 age puts his birth at 1815-16 — about twenty in the scene, which fits a man the 1835 papers show teaching school between January and July before the law."
T-0509,pass_14,bullen_jeduthnn,hh_bullen_jeduthnn,Jeduthnn Bullen,letter_list_only_present,inferred,1835-07-01,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,"Nothing reviewed in this pass corroborates Jeduthnn Bullen from outside the record already held: the papers hold the name only on the post-office return(s) of 1835-05-20, 1835-07-01, 1835-08-19."
T-0509,pass_14,bartlett_charles_h,hh_bartlett_charles_h,Charles H. Bartlett,letter_list_only_uncertain,inferred,1835-05-20,candidate_identity,R3,,chicago_democrat_1833_1835;chm_bartlett_diaries,fergus_1843;newberry_leads;newspaper_register;norris_1844,fergus_1843;newberry_leads;norris_1844,"Chicago History Museum catalogs Charles H. Bartlett diaries beginning before his 1834 farming near Diamond Lake. Exact name, date and regional movement are strong; image-level diary review is still needed. [Read for pass 03 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
T-0509,pass_14,sherman_h,hh_sherman_h,Mrs. H. Sherman,established_profile,attested,,no_corroboration,R4,,chicago_democrat_1833_1835,fergus_1843;newspaper_register;norris_1844;norris_adv,fergus_1843;norris_1844;norris_adv,"Nothing reviewed in this pass corroborates Mrs. H. Sherman from outside the record already held: the fergus chicago directory 1843, norris directory 1844 agreement is a surname-only refusal; the papers carry the name 1834-12-03 as dressmaker."
T-0509,pass_14,bullock_stephen,hh_bullock_stephen,Stephen Bullock,letter_list_only_present,inferred,1835-07-01,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates Stephen Bullock from outside the record already held: the papers hold the name only on the post-office return(s) of 1835-07-01.
T-0509,pass_14,richards_charles_t,hh_richards_charles_t,Charles T. Richards,letter_list_only_uncertain,inferred,1835-05-20,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,fergus_1843;newberry_leads;newspaper_register;norris_1844,fergus_1843;norris_1844,"Charles T. Richards is held as a candidate and not asserted: 2 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the fergus chicago directory 1843, norris directory 1844 agreement is a surname-only refusal; the papers hold the name only on the post-office return(s) of 1835-05-20."
T-0509,pass_14,moore_henry,hh_moore_henry,Henry Moore,established_profile,attested,,corroborated_enrichment,R1,,chicago_democrat_1833_1835;chicago_tribune_1882_04_25_old_settler_deaths;fergus_chicago_directory_1839,address_backproj;fergus_1839;fergus_1843;newberry_leads;newspaper_register;norris_1844;old_settler_deaths;spend_crosswalk,fergus_1843;newberry_leads;norris_1844;spend_crosswalk,"Fergus 1839 prints 'Moore, Henry, attorney and counseller at law, 9 Clark st' and the old-settler notice 'Moore, Henry, died, Concord, Mass., after 1841'. Whole forename, whole surname, and the trade the 1835 papers already print for him between 4 June and 22 August. The 1839 door is 1839's, not 1835's."
T-0509,pass_14,burbee_jonathan,hh_burbee_jonathan,Jonathan Burbee,letter_list_only_present,inferred,1835-07-01,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,"Nothing reviewed in this pass corroborates Jonathan Burbee from outside the record already held: the papers hold the name only on the post-office return(s) of 1834-07-09 to 1834-07-16, 1835-07-01."
T-0509,pass_14,chapman_chas_h,hh_chapman_chas_h,Chas. H. Chapman,letter_list_only_uncertain,attested,1834-04-01,corroborated_enrichment,R1,,chicago_democrat_1833_1835;fergus_chicago_directory_1839,address_backproj;fergus_1839;fergus_1839_election;fergus_1843;newberry_leads;newspaper_register;norris_1844;old_settler_deaths;spend_crosswalk,address_backproj;newberry_leads;old_settler_deaths;spend_crosswalk,"The 1837 election return prints 'Chas. H. Chapman' — the transcribed 1835 form letter for letter — and Fergus 1839 prints 'Chapman, Charles II., real estate dealer, Randolph street', where 'II.' is the printer's H. The papers run him from 24 December 1833 to 20 June 1835 as a merchant, so the town has him before and after. A rare case in this stratum: a letter-list man who is nonetheless well held."
T-0509,pass_14,marshall_j_a,hh_marshall_j_a,J. A. Marshall,established_profile,attested,,corroborated_enrichment,R1,,chicago_democrat_1833_1835;fergus_chicago_directory_1839,address_backproj;fergus_1839;fergus_1843;newberry_leads;newspaper_register;norris_1844;old_settler_deaths;spend_crosswalk,newberry_leads;spend_crosswalk,"Fergus 1839 prints 'Marshall, James A., auctioneer, commission, etc., So. Water st', expanding J. A. exactly. REFUSED: the old-settler notice 'Marshall, James Monroe, real estate, died July 1, 1880, aged 45-9' gives a middle name that conflicts with the A., and an age that would make him an infant in 1835. Not the same man; not carried."
T-0509,pass_14,burdick_paul,hh_burdick_paul,Paul Burdick,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,buck_pioneer_milwaukee;chicago_democrat_1833_1835,fergus_1843;newspaper_register;norris_1844,fergus_1843;norris_1844,"Milwaukee history says Paul Burdick occupied a frame house raised there in March 1835. Exact name and date make a regional candidate, while Milwaukee residence conflicts with physical Chicago presence. [Read for pass 02 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
T-0509,pass_14,house_chester,hh_house_chester,Chester House,letter_list_only_uncertain,inferred,1834-04-01;1835-05-20,candidate_identity,R3,,chicago_democrat_1833_1835;talcott_chester_house_1835,newspaper_register,,"A contemporary 1835 letter and local histories place distinctive-name Chester House at House's Grove from 1833. He is probably the recipient, but as a hinterland resident, not proof of Chicago residence; sources conflict on spouse name. [Read for pass 02 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
T-0509,pass_14,curtiss_j,hh_curtiss_j,J. Curtiss,established_profile,attested,,corroborated_enrichment,R1,,chicago_democrat_1833_1835;cpl_james_curtiss_biography;fergus_chicago_directory_1839,address_backproj;fergus_1839;fergus_1843;newspaper_register;norris_1844;norris_adv;spend_crosswalk,spend_crosswalk,"Fergus 1839 prints 'Curtiss, James, attorney and counsellor at law, 17 Lake st' and the library's biography of the later mayor gives the same man's Chicago arrival and practice. The 1835 papers already carry him as an attorney between 20 May and 5 August, so the expansion of the bare J. is safe."
T-0509,pass_14,butterfield_ben,hh_butterfield_ben,Ben Butterfield,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,chicago_democrat_1833_1835;hmdb_butterfield_trail,fergus_1843;newspaper_register;norris_1844;norris_adv,fergus_1843;norris_1844;norris_adv,"A historical marker places Ben Butterfield at Lockport and on a Danville-to-Chicago route from 1830-31. This is a strong regional candidate, but postal reachability does not establish town residence. [Read for pass 03 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
T-0509,pass_14,albee_clark_b,hh_albee_clark_b,Clark B. Albee,letter_list_only_uncertain,inferred,1834-04-01,candidate_identity,R3,cand_clark_b_albee_grand_haven,chicago_democrat_1833_1835;fergus_chicago_directory_1839;migenweb_clark_albee_grand_haven,fergus_1839;fergus_1843;newberry_leads;newspaper_register;spend_crosswalk,fergus_1843;newberry_leads;spend_crosswalk,"The Fergus 1839 crosswalk matched on surname plus the initial C., but the entry prints 'Albee, Cyrus P., butcher' — a forename and middle initial that both conflict with Clark B. Albee. The match is refused here. What remains is pass 3's Grand Haven reading, which puts an exact-name Clark B. Albee in Michigan commerce beside the Chicago-linked David Carver: suggestive, unbridged."
T-0509,pass_14,collins_j_h,hh_collins_j_h,J. H. Collins,established_profile,attested,,corroborated_enrichment,R1,,chicago_democrat_1833_1835;fergus_chicago_directory_1839,address_backproj;fergus_1839;fergus_1839_election;fergus_1843;newberry_leads;newspaper_register;norris_1844;norris_adv;old_settler_deaths;spend_crosswalk,address_backproj;norris_adv;old_settler_deaths;spend_crosswalk,"The 1837 election return prints 'James H. Collins.', expanding both initials. The papers carry him as an attorney across three separate runs from 28 January 1834 to 5 August 1835. The Fergus 1839 surname entry is contested between several residents and is NOT carried; the 1837 return is what makes this."
T-0509,pass_14,byam_seth,hh_byam_seth,Seth Byam,letter_list_only_present,inferred,1835-07-01,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates Seth Byam from outside the record already held: the papers hold the name only on the post-office return(s) of 1835-07-01.
T-0509,pass_14,abbott_constant,hh_abbott_constant,Constant Abbott,letter_list_only_uncertain,inferred,1834-04-01,candidate_identity,R3,,chicago_democrat_1833_1835;dupage_constant_abbott,fergus_1843;newberry_leads;newspaper_register;norris_1844,fergus_1843;norris_1844,"Dr. Constant Abbott is a strong regional candidate documented in DuPage and Ottawa by 1836, but no source supplies a dated Chicago migration or links him to this return. [Read for pass 02 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
T-0509,pass_14,grant_james,hh_grant_james,James Grant,established_profile,attested,,corroborated,R2,,chicago_democrat_1833_1835;chicago_tribune_1882_04_25_old_settler_deaths;chicago_voter_lists_1833_1835_irad;fergus_chicago_directory_1839,fergus_1839;fergus_1839_election;newberry_leads;newspaper_register;old_settler_deaths;spend_crosswalk;voter_lists,spend_crosswalk,"Matched on the 1835 poll list as 'Grant, J.', and the identification is held by trade across three decades: Fergus 1839 prints 'Grant, Jas., attorney, N. Water st near Rush, bds. Lake House' and the old-settler notice 'Grant, James, lawyer, died, Oakland, Cal., Mar. 14, 1891, aged 78'. The 1891 age puts his birth at 1812-13, which makes him about 22 in the scene."
T-0509,pass_14,case_nehemiah,hh_case_nehemiah,Nehemiah Case,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,buffalo_nehemiah_case;chicago_democrat_1833_1835,newberry_leads;newspaper_register;norris_1844,norris_1844,"A Buffalo directory supplies a competing Nehemiah Case, but wrong geography and no migration bridge make it a rejected match rather than a Chicago identity. [Read for pass 02 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
T-0509,pass_14,parkes_curtis,hh_parkes_curtis,Curtis Parkes,letter_list_only_uncertain,inferred,1835-05-20,candidate_identity,R3,,chicago_democrat_1833_1835;porter_curtis_parkes,newberry_leads;newspaper_register,,"Porter County history names Curtis Parkes in its February 1836 organization vote. Exact name and adjacent-region chronology are strong, but the Chicago letter may only reflect the nearest postal route. [Read for pass 03 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
T-0509,pass_14,stewart_r,hh_stewart_r,R. Stewart,established_profile,attested,,corroborated_enrichment,R1,,chicago_democrat_1833_1835;fergus_chicago_directory_1839,address_backproj;fergus_1839;fergus_1839_election;fergus_1843;newspaper_register;norris_1844;old_settler_deaths;spend_crosswalk,fergus_1843;norris_1844;old_settler_deaths;spend_crosswalk,"Two records expand the bare R. the same way: Fergus 1839, 'Stewart, Royal, attorney at law, Lake street', and the 1837 election return, 'Royal Stewart'. The papers print an attorney of that surname from 2 July 1834 to 13 June 1835. An uncommon forename agreeing twice is the discriminator."
T-0509,pass_14,chadwick_joseph,hh_chadwick_joseph,Joseph Chadwick,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,cand_joseph_m_chadwick_texas,chicago_democrat_1833_1835;fergus_chicago_directory_1839;tsaha_joseph_chadwick,fergus_1839_election;newspaper_register;old_settler_deaths,old_settler_deaths,"The 1837 election return prints 'J. W. Chadwick'; the resident is Joseph Chadwick with no middle initial recorded, so the W. is unsupported rather than agreeing, and the match is refused. Pass 3's candidate stands: Joseph M. Chadwick, a military engineer in Illinois before reaching Texas in December 1835, whose middle initial also fails to agree."
T-0509,pass_14,torry_d_v_s,hh_torry_d_v_s,D. V. S. Torry,letter_list_only_uncertain,inferred,1834-04-16,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates D. V. S. Torry from outside the record already held: the papers hold the name only on the post-office return(s) of 1834-04-16.
